Id2,Geography,Estimate; Total Number of Housing Units,Margin of Error; Total
6053014301,"Census Tract 143.01, Monterey County, California",1423,92
6053014302,"Census Tract 143.02, Monterey County, California",1659,95
6055200201,"Census Tract 2002.01, Napa County, California",1369,50
6055200202,"Census Tract 2002.02, Napa County, California",1173,60
6055200203,"Census Tract 2002.03, Napa County, California",912,64
6055200300,"Census Tract 2003, Napa County, California",2588,141
6055200400,"Census Tract 2004, Napa County, California",1599,65
6055200501,"Census Tract 2005.01, Napa County, California",1767,87
6055200502,"Census Tract 2005.02, Napa County, California",3238,162
6055200503,"Census Tract 2005.03, Napa County, California",781,39
6055200600,"Census Tract 2006, Napa County, California",3506,126
6055200701,"Census Tract 2007.01, Napa County, California",2659,89
6055200702,"Census Tract 2007.02, Napa County, California",2526,95
6055200703,"Census Tract 2007.03, Napa County, California",1159,44
6055200801,"Census Tract 2008.01, Napa County, California",2502,98
6055200802,"Census Tract 2008.02, Napa County, California",2287,98
6055200900,"Census Tract 2009, Napa County, California",8,13
6055201001,"Census Tract 2010.01, Napa County, California",2549,156
6055201002,"Census Tract 2010.02, Napa County, California",2833,167
6055201100,"Census Tract 2011, Napa County, California",1768,78
6055201200,"Census Tract 2012, Napa County, California",2218,87
6055201300,"Census Tract 2013, Napa County, California",1565,208
6055201400,"Census Tract 2014, Napa County, California",3867,235
6055201500,"Census Tract 2015, Napa County, California",1130,95
6055201600,"Census Tract 2016, Napa County, California",2797,198
6055201700,"Census Tract 2017, Napa County, California",2220,145
6055201800,"Census Tract 2018, Napa County, California",1008,97
6055201900,"Census Tract 2019, Napa County, California",773,40
6055202000,"Census Tract 2020, Napa County, California",2239,281
6057000102,"Census Tract 1.02, Nevada County, California",2830,101
6057000103,"Census Tract 1.03, Nevada County, California",3423,126
6057000104,"Census Tract 1.04, Nevada County, California",1669,63
6057000105,"Census Tract 1.05, Nevada County, California",1187,39
6057000200,"Census Tract 2, Nevada County, California",1061,50
6057000300,"Census Tract 3, Nevada County, California",1009,67
6057000401,"Census Tract 4.01, Nevada County, California",2870,80
6057000402,"Census Tract 4.02, Nevada County, California",2796,136
6057000501,"Census Tract 5.01, Nevada County, California",2621,168
6057000502,"Census Tract 5.02, Nevada County, California",2195,123
6057000600,"Census Tract 6, Nevada County, California",2867,177
6057000701,"Census Tract 7.01, Nevada County, California",3436,103
6057000702,"Census Tract 7.02, Nevada County, California",1700,76
6057000801,"Census Tract 8.01, Nevada County, California",2340,68
6057000802,"Census Tract 8.02, Nevada County, California",2935,241
6057000900,"Census Tract 9, Nevada County, California",2407,102
6057001201,"Census Tract 12.01, Nevada County, California",4889,226
6057001202,"Census Tract 12.02, Nevada County, California",7391,208
6059001101,"Census Tract 11.01, Orange County, California",1521,63
6059001102,"Census Tract 11.02, Orange County, California",1044,40
6059001103,"Census Tract 11.03, Orange County, California",1407,56
6059001201,"Census Tract 12.01, Orange County, California",1415,60
6059001202,"Census Tract 12.02, Orange County, California",916,31
6059001301,"Census Tract 13.01, Orange County, California",2414,89
6059001303,"Census Tract 13.03, Orange County, California",1785,58
6059001304,"Census Tract 13.04, Orange County, California",1103,46
6059001401,"Census Tract 14.01, Orange County, California",1744,60
6059001402,"Census Tract 14.02, Orange County, California",1536,47
6059001403,"Census Tract 14.03, Orange County, California",1103,31
6059001404,"Census Tract 14.04, Orange County, California",1012,37
6059001501,"Census Tract 15.01, Orange County, California",2412,99
6059001503,"Census Tract 15.03, Orange County, California",1760,58
6059001504,"Census Tract 15.04, Orange County, California",1757,74
6059001505,"Census Tract 15.05, Orange County, California",2403,43
6059001506,"Census Tract 15.06, Orange County, California",1593,60
6059001507,"Census Tract 15.07, Orange County, California",2024,69
6059001601,"Census Tract 16.01, Orange County, California",2856,47
6059001602,"Census Tract 16.02, Orange County, California",1842,38
6059001704,"Census Tract 17.04, Orange County, California",2291,51
6059001705,"Census Tract 17.05, Orange County, California",1424,44
6059001706,"Census Tract 17.06, Orange County, California",1342,65
6059001707,"Census Tract 17.07, Orange County, California",2480,46
6059001708,"Census Tract 17.08, Orange County, California",1296,51
6059001801,"Census Tract 18.01, Orange County, California",1580,35
6059001802,"Census Tract 18.02, Orange County, California",2155,47
6059001901,"Census Tract 19.01, Orange County, California",796,22
6059001902,"Census Tract 19.02, Orange County, California",804,25
6059001903,"Census Tract 19.03, Orange County, California",949,25
6059011000,"Census Tract 110, Orange County, California",2406,77
6059011101,"Census Tract 111.01, Orange County, California",1299,30
6059011102,"Census Tract 111.02, Orange County, California",1179,36
6059011200,"Census Tract 112, Orange County, California",1634,36
6059011300,"Census Tract 113, Orange County, California",2020,70
6059011401,"Census Tract 114.01, Orange County, California",775,17
6059011402,"Census Tract 114.02, Orange County, California",853,19
6059011403,"Census Tract 114.03, Orange County, California",1930,41
6059011502,"Census Tract 115.02, Orange County, California",1482,30
6059011503,"Census Tract 115.03, Orange County, California",580,16
6059011504,"Census Tract 115.04, Orange County, California",2123,116
6059011601,"Census Tract 116.01, Orange County, California",2329,99
6059011602,"Census Tract 116.02, Orange County, California",1755,73
6059011707,"Census Tract 117.07, Orange County, California",2354,67
6059011708,"Census Tract 117.08, Orange County, California",1918,57
6059011709,"Census Tract 117.09, Orange County, California",1454,46
6059011710,"Census Tract 117.10, Orange County, California",1153,39
6059011711,"Census Tract 117.11, Orange County, California",2762,73
6059011712,"Census Tract 117.12, Orange County, California",1549,50
6059011714,"Census Tract 117.14, Orange County, California",64,45
6059011715,"Census Tract 117.15, Orange County, California",2551,143
6059011716,"Census Tract 117.16, Orange County, California",1626,57
6059011717,"Census Tract 117.17, Orange County, California",924,25
6059011718,"Census Tract 117.18, Orange County, California",1149,42
6059011720,"Census Tract 117.20, Orange County, California",1534,43
6059011721,"Census Tract 117.21, Orange County, California",1483,67
6059011722,"Census Tract 117.22, Orange County, California",1338,61
6059021802,"Census Tract 218.02, Orange County, California",2638,98
6059021807,"Census Tract 218.07, Orange County, California",1327,26
6059021809,"Census Tract 218.09, Orange County, California",1019,26
6059021810,"Census Tract 218.10, Orange County, California",1219,34
6059021812,"Census Tract 218.12, Orange County, California",2197,66
6059021813,"Census Tract 218.13, Orange County, California",21,34
6059021814,"Census Tract 218.14, Orange County, California",2544,74
6059021815,"Census Tract 218.15, Orange County, California",2614,54
6059021816,"Census Tract 218.16, Orange County, California",1899,47
6059021817,"Census Tract 218.17, Orange County, California",1416,34
6059021820,"Census Tract 218.20, Orange County, California",1377,43
6059021821,"Census Tract 218.21, Orange County, California",2331,106
6059021822,"Census Tract 218.22, Orange County, California",2010,61
6059021823,"Census Tract 218.23, Orange County, California",1016,64
6059021824,"Census Tract 218.24, Orange County, California",855,51
6059021825,"Census Tract 218.25, Orange County, California",1095,27
6059021826,"Census Tract 218.26, Orange County, California",1086,30
6059021827,"Census Tract 218.27, Orange County, California",1099,37
6059021828,"Census Tract 218.28, Orange County, California",1343,32
6059021829,"Census Tract 218.29, Orange County, California",1779,38
6059021830,"Census Tract 218.30, Orange County, California",2069,41
6059021903,"Census Tract 219.03, Orange County, California",1194,23
6059021905,"Census Tract 219.05, Orange County, California",1766,32
6059021912,"Census Tract 219.12, Orange County, California",1538,38
6059021913,"Census Tract 219.13, Orange County, California",2124,74
6059021914,"Census Tract 219.14, Orange County, California",1392,68
6059021915,"Census Tract 219.15, Orange County, California",1492,29
6059021916,"Census Tract 219.16, Orange County, California",1423,29
6059021917,"Census Tract 219.17, Orange County, California",1262,29
6059021918,"Census Tract 219.18, Orange County, California",1817,49
6059021919,"Census Tract 219.19, Orange County, California",1055,38
6059021920,"Census Tract 219.20, Orange County, California",2554,37
6059021921,"Census Tract 219.21, Orange County, California",1399,39
6059021922,"Census Tract 219.22, Orange County, California",2302,54
6059021923,"Census Tract 219.23, Orange County, California",2278,50
6059021924,"Census Tract 219.24, Orange County, California",1493,26
6059032002,"Census Tract 320.02, Orange County, California",2084,46
6059032003,"Census Tract 320.03, Orange County, California",1590,39
6059032011,"Census Tract 320.11, Orange County, California",934,55
6059032012,"Census Tract 320.12, Orange County, California",1284,28
6059032013,"Census Tract 320.13, Orange County, California",2076,45
6059032014,"Census Tract 320.14, Orange County, California",1977,73
6059032015,"Census Tract 320.15, Orange County, California",1971,73
6059032020,"Census Tract 320.20, Orange County, California",1907,37
6059032022,"Census Tract 320.22, Orange County, California",2114,63
6059032023,"Census Tract 320.23, Orange County, California",3790,147
6059032027,"Census Tract 320.27, Orange County, California",2201,47
6059032028,"Census Tract 320.28, Orange County, California",1319,37
6059032029,"Census Tract 320.29, Orange County, California",1490,37
6059032030,"Census Tract 320.30, Orange County, California",1264,37
6059032031,"Census Tract 320.31, Orange County, California",1166,24
6059032032,"Census Tract 320.32, Orange County, California",1030,28
6059032033,"Census Tract 320.33, Orange County, California",1503,32
6059032034,"Census Tract 320.34, Orange County, California",1848,34
6059032035,"Census Tract 320.35, Orange County, California",1029,65
6059032036,"Census Tract 320.36, Orange County, California",1241,31
6059032037,"Census Tract 320.37, Orange County, California",2624,63
6059032038,"Census Tract 320.38, Orange County, California",2139,49
6059032039,"Census Tract 320.39, Orange County, California",2224,45
6059032040,"Census Tract 320.40, Orange County, California",890,16
6059032041,"Census Tract 320.41, Orange County, California",498,55
6059032042,"Census Tract 320.42, Orange County, California",1791,50
6059032043,"Census Tract 320.43, Orange County, California",1237,37
6059032044,"Census Tract 320.44, Orange County, California",2321,84
6059032045,"Census Tract 320.45, Orange County, California",1104,33
6059032046,"Census Tract 320.46, Orange County, California",2180,68
6059032047,"Census Tract 320.47, Orange County, California",1770,34
6059032048,"Census Tract 320.48, Orange County, California",2256,39
6059032049,"Census Tract 320.49, Orange County, California",3126,98
6059032050,"Census Tract 320.50, Orange County, California",1738,49
6059032051,"Census Tract 320.51, Orange County, California",2047,49
6059032052,"Census Tract 320.52, Orange County, California",7288,212
6059032053,"Census Tract 320.53, Orange County, California",3208,93
6059032054,"Census Tract 320.54, Orange County, California",2311,63
6059032055,"Census Tract 320.55, Orange County, California",1597,55
6059032056,"Census Tract 320.56, Orange County, California",2372,59
6059042103,"Census Tract 421.03, Orange County, California",3318,102
6059042106,"Census Tract 421.06, Orange County, California",700,42
6059042107,"Census Tract 421.07, Orange County, California",1544,61
6059042108,"Census Tract 421.08, Orange County, California",3092,92
6059042109,"Census Tract 421.09, Orange County, California",2100,63
6059042111,"Census Tract 421.11, Orange County, California",2200,64
6059042112,"Census Tract 421.12, Orange County, California",2175,67
6059042113,"Census Tract 421.13, Orange County, California",2115,95
6059042114,"Census Tract 421.14, Orange County, California",1807,85
6059042201,"Census Tract 422.01, Orange County, California",2791,105
6059042203,"Census Tract 422.03, Orange County, California",2458,110
6059042205,"Census Tract 422.05, Orange County, California",2538,63
6059042206,"Census Tract 422.06, Orange County, California",1460,40
6059042305,"Census Tract 423.05, Orange County, California",2026,116
6059042307,"Census Tract 423.07, Orange County, California",2337,104
6059042310,"Census Tract 423.10, Orange County, California",2904,128
6059042311,"Census Tract 423.11, Orange County, California",2146,66
6059042312,"Census Tract 423.12, Orange County, California",1743,120
6059042313,"Census Tract 423.13, Orange County, California",3424,132
6059042315,"Census Tract 423.15, Orange County, California",2391,67
6059042317,"Census Tract 423.17, Orange County, California",1390,39
6059042319,"Census Tract 423.19, Orange County, California",1171,30
6059042320,"Census Tract 423.20, Orange County, California",2558,68
6059042323,"Census Tract 423.23, Orange County, California",2885,140
6059042324,"Census Tract 423.24, Orange County, California",2461,71
6059042325,"Census Tract 423.25, Orange County, California",1596,42
6059042326,"Census Tract 423.26, Orange County, California",1894,57
6059042327,"Census Tract 423.27, Orange County, California",1762,74
6059042328,"Census Tract 423.28, Orange County, California",796,55
6059042329,"Census Tract 423.29, Orange County, California",1580,76
6059042330,"Census Tract 423.30, Orange County, California",2322,64
6059042331,"Census Tract 423.31, Orange County, California",2217,81
6059042332,"Census Tract 423.32, Orange County, California",2262,55
6059042333,"Census Tract 423.33, Orange County, California",1320,52
6059042334,"Census Tract 423.34, Orange County, California",2347,74
6059042335,"Census Tract 423.35, Orange County, California",2372,69
6059042336,"Census Tract 423.36, Orange County, California",1616,45
6059042337,"Census Tract 423.37, Orange County, California",1420,37
6059042338,"Census Tract 423.38, Orange County, California",2182,109
6059042339,"Census Tract 423.39, Orange County, California",1652,58
6059052404,"Census Tract 524.04, Orange County, California",29,7
6059052408,"Census Tract 524.08, Orange County, California",2148,62
6059052410,"Census Tract 524.10, Orange County, California",2094,68
6059052411,"Census Tract 524.11, Orange County, California",1325,35
6059052415,"Census Tract 524.15, Orange County, California",1314,36
6059052416,"Census Tract 524.16, Orange County, California",1279,41
6059052417,"Census Tract 524.17, Orange County, California",2495,55
6059052418,"Census Tract 524.18, Orange County, California",3451,136
6059052419,"Census Tract 524.19, Orange County, California",1165,39
6059052420,"Census Tract 524.20, Orange County, California",6992,163
6059052421,"Census Tract 524.21, Orange County, California",2015,61
6059052422,"Census Tract 524.22, Orange County, California",1493,38
6059052423,"Census Tract 524.23, Orange County, California",2127,63
6059052424,"Census Tract 524.24, Orange County, California",1877,51
6059052425,"Census Tract 524.25, Orange County, California",2369,54
6059052426,"Census Tract 524.26, Orange County, California",1966,76
6059052427,"Census Tract 524.27, Orange County, California",1725,46
6059052428,"Census Tract 524.28, Orange County, California",2196,51
6059052502,"Census Tract 525.02, Orange County, California",1994,68
6059052505,"Census Tract 525.05, Orange County, California",2031,45
6059052506,"Census Tract 525.06, Orange County, California",910,30
6059052511,"Census Tract 525.11, Orange County, California",2249,91
6059052513,"Census Tract 525.13, Orange County, California",2475,55
6059052514,"Census Tract 525.14, Orange County, California",2213,68
6059052515,"Census Tract 525.15, Orange County, California",3007,176
6059052517,"Census Tract 525.17, Orange County, California",4402,119
6059052518,"Census Tract 525.18, Orange County, California",786,69
6059052519,"Census Tract 525.19, Orange County, California",1672,40
6059052520,"Census Tract 525.20, Orange County, California",1377,35
6059052521,"Census Tract 525.21, Orange County, California",2238,105
6059052522,"Census Tract 525.22, Orange County, California",1499,39
6059052523,"Census Tract 525.23, Orange County, California",1582,43
6059052524,"Census Tract 525.24, Orange County, California",2917,93
6059052525,"Census Tract 525.25, Orange County, California",5669,151
6059052526,"Census Tract 525.26, Orange County, California",1384,41
6059052527,"Census Tract 525.27, Orange County, California",2840,68
6059052528,"Census Tract 525.28, Orange County, California",1295,39
6059062604,"Census Tract 626.04, Orange County, California",6453,199
6059062605,"Census Tract 626.05, Orange County, California",2265,111
6059062610,"Census Tract 626.10, Orange County, California",3710,101
6059062611,"Census Tract 626.11, Orange County, California",1690,59
6059062612,"Census Tract 626.12, Orange County, California",2883,68
6059062614,"Census Tract 626.14, Orange County, California",3389,157
6059062619,"Census Tract 626.19, Orange County, California",2134,103
6059062620,"Census Tract 626.20, Orange County, California",2749,123
6059062621,"Census Tract 626.21, Orange County, California",1926,92
6059062622,"Census Tract 626.22, Orange County, California",3205,109
6059062623,"Census Tract 626.23, Orange County, California",4838,164
6059062625,"Census Tract 626.25, Orange County, California",2369,60
6059062626,"Census Tract 626.26, Orange County, California",956,50
6059062627,"Census Tract 626.27, Orange County, California",1418,67
6059062628,"Census Tract 626.28, Orange County, California",1033,41
6059062629,"Census Tract 626.29, Orange County, California",936,29
6059062630,"Census Tract 626.30, Orange County, California",799,20
6059062631,"Census Tract 626.31, Orange County, California",1319,33
6059062632,"Census Tract 626.32, Orange County, California",2292,103
6059062633,"Census Tract 626.33, Orange County, California",1433,39
6059062634,"Census Tract 626.34, Orange County, California",1847,58
6059062635,"Census Tract 626.35, Orange County, California",1542,59
6059062636,"Census Tract 626.36, Orange County, California",1395,48
6059062637,"Census Tract 626.37, Orange County, California",1894,88
6059062638,"Census Tract 626.38, Orange County, California",2465,71
6059062639,"Census Tract 626.39, Orange County, California",2303,70
6059062640,"Census Tract 626.40, Orange County, California",1564,44
6059062641,"Census Tract 626.41, Orange County, California",1551,60
6059062642,"Census Tract 626.42, Orange County, California",1259,71
6059062643,"Census Tract 626.43, Orange County, California",2211,60
6059062644,"Census Tract 626.44, Orange County, California",3060,81
6059062645,"Census Tract 626.45, Orange County, California",2532,65
6059062646,"Census Tract 626.46, Orange County, California",3130,123
6059062647,"Census Tract 626.47, Orange County, California",2752,68
6059062701,"Census Tract 627.01, Orange County, California",1496,89
6059062702,"Census Tract 627.02, Orange County, California",2509,100
6059062800,"Census Tract 628, Orange County, California",2836,88
6059062900,"Census Tract 629, Orange County, California",884,24
6059063004,"Census Tract 630.04, Orange County, California",3394,109
6059063005,"Census Tract 630.05, Orange County, California",934,28
6059063006,"Census Tract 630.06, Orange County, California",2101,43
6059063007,"Census Tract 630.07, Orange County, California",3092,91
6059063008,"Census Tract 630.08, Orange County, California",615,21
6059063009,"Census Tract 630.09, Orange County, California",696,24
6059063010,"Census Tract 630.10, Orange County, California",3111,93
6059063101,"Census Tract 631.01, Orange County, California",1178,85
6059063102,"Census Tract 631.02, Orange County, California",2763,138
6059063103,"Census Tract 631.03, Orange County, California",1116,25
6059063201,"Census Tract 632.01, Orange County, California",1664,73
6059063202,"Census Tract 632.02, Orange County, California",1545,61
6059063301,"Census Tract 633.01, Orange County, California",1466,81
6059063302,"Census Tract 633.02, Orange County, California",1790,83
6059063400,"Census Tract 634, Orange County, California",1950,97
6059063500,"Census Tract 635, Orange County, California",3328,128
6059063601,"Census Tract 636.01, Orange County, California",1408,42
6059063603,"Census Tract 636.03, Orange County, California",3051,96
6059063604,"Census Tract 636.04, Orange County, California",1512,42
6059063605,"Census Tract 636.05, Orange County, California",1483,46
6059063701,"Census Tract 637.01, Orange County, California",1787,64
6059063702,"Census Tract 637.02, Orange County, California",2285,97
6059063802,"Census Tract 638.02, Orange County, California",1057,31
6059063803,"Census Tract 638.03, Orange County, California",1687,57
6059063805,"Census Tract 638.05, Orange County, California",905,25
6059063806,"Census Tract 638.06, Orange County, California",1430,42
6059063807,"Census Tract 638.07, Orange County, California",2000,63
6059063808,"Census Tract 638.08, Orange County, California",1614,63
6059063902,"Census Tract 639.02, Orange County, California",2786,86
6059063903,"Census Tract 639.03, Orange County, California",1208,45
6059063904,"Census Tract 639.04, Orange County, California",1365,53
6059063905,"Census Tract 639.05, Orange County, California",1930,48
6059063906,"Census Tract 639.06, Orange County, California",2421,92
6059063907,"Census Tract 639.07, Orange County, California",2788,109
6059063908,"Census Tract 639.08, Orange County, California",2618,75
6059074003,"Census Tract 740.03, Orange County, California",823,42
6059074004,"Census Tract 740.04, Orange County, California",2376,62
6059074005,"Census Tract 740.05, Orange County, California",1532,33
6059074006,"Census Tract 740.06, Orange County, California",2037,55
6059074102,"Census Tract 741.02, Orange County, California",1397,32
6059074103,"Census Tract 741.03, Orange County, California",950,39
6059074106,"Census Tract 741.06, Orange County, California",1997,46
6059074107,"Census Tract 741.07, Orange County, California",2746,75
6059074108,"Census Tract 741.08, Orange County, California",945,32
6059074109,"Census Tract 741.09, Orange County, California",694,39
6059074110,"Census Tract 741.10, Orange County, California",981,29
6059074111,"Census Tract 741.11, Orange County, California",1431,40
6059074200,"Census Tract 742, Orange County, California",1831,53
6059074300,"Census Tract 743, Orange County, California",839,27
6059074403,"Census Tract 744.03, Orange County, California",1382,32
6059074405,"Census Tract 744.05, Orange County, California",1506,56
6059074406,"Census Tract 744.06, Orange County, California",840,48
6059074407,"Census Tract 744.07, Orange County, California",1929,46
6059074408,"Census Tract 744.08, Orange County, California",1587,79
6059074501,"Census Tract 745.01, Orange County, California",1464,44
6059074502,"Census Tract 745.02, Orange County, California",1059,25
6059074601,"Census Tract 746.01, Orange County, California",1749,58
6059074602,"Census Tract 746.02, Orange County, California",1787,51
6059074701,"Census Tract 747.01, Orange County, California",1490,35
6059074702,"Census Tract 747.02, Orange County, California",1144,33
6059074801,"Census Tract 748.01, Orange County, California",1046,26
6059074802,"Census Tract 748.02, Orange County, California",1306,47
6059074803,"Census Tract 748.03, Orange County, California",1902,36
6059074805,"Census Tract 748.05, Orange County, California",1053,28
6059074806,"Census Tract 748.06, Orange County, California",965,27
6059074901,"Census Tract 749.01, Orange County, California",1954,64
6059074902,"Census Tract 749.02, Orange County, California",1277,30
6059075002,"Census Tract 750.02, Orange County, California",2410,64
6059075003,"Census Tract 750.03, Orange County, California",1774,65
6059075004,"Census Tract 750.04, Orange County, California",1381,36
6059075100,"Census Tract 751, Orange County, California",2137,46
6059075201,"Census Tract 752.01, Orange County, California",1187,28
6059075202,"Census Tract 752.02, Orange County, California",1209,48
6059075301,"Census Tract 753.01, Orange County, California",1629,41
6059075302,"Census Tract 753.02, Orange County, California",1177,28
6059075303,"Census Tract 753.03, Orange County, California",1248,26
6059075401,"Census Tract 754.01, Orange County, California",1215,33
6059075403,"Census Tract 754.03, Orange County, California",2540,51
6059075404,"Census Tract 754.04, Orange County, California",2237,45
6059075405,"Census Tract 754.05, Orange County, California",1016,32
6059075504,"Census Tract 755.04, Orange County, California",1614,45
6059075505,"Census Tract 755.05, Orange County, California",1455,50
6059075506,"Census Tract 755.06, Orange County, California",1254,31
6059075507,"Census Tract 755.07, Orange County, California",1982,82
6059075512,"Census Tract 755.12, Orange County, California",1218,41
6059075513,"Census Tract 755.13, Orange County, California",1539,60
6059075514,"Census Tract 755.14, Orange County, California",1260,56
6059075515,"Census Tract 755.15, Orange County, California",3342,186
6059075603,"Census Tract 756.03, Orange County, California",1732,49
6059075604,"Census Tract 756.04, Orange County, California",2994,95
6059075605,"Census Tract 756.05, Orange County, California",2301,54
6059075606,"Census Tract 756.06, Orange County, California",2500,58
6059075607,"Census Tract 756.07, Orange County, California",2871,111
6059075701,"Census Tract 757.01, Orange County, California",2291,52
6059075702,"Census Tract 757.02, Orange County, California",1358,41
6059075703,"Census Tract 757.03, Orange County, California",1633,47
6059075805,"Census Tract 758.05, Orange County, California",1401,41
6059075806,"Census Tract 758.06, Orange County, California",2161,48
6059075807,"Census Tract 758.07, Orange County, California",1238,37
6059075808,"Census Tract 758.08, Orange County, California",1216,33
6059075809,"Census Tract 758.09, Orange County, California",1181,74
6059075810,"Census Tract 758.10, Orange County, California",1090,54
6059075811,"Census Tract 758.11, Orange County, California",789,43
6059075812,"Census Tract 758.12, Orange County, California",1899,53
6059075813,"Census Tract 758.13, Orange County, California",1746,41
6059075814,"Census Tract 758.14, Orange County, California",1156,34
6059075815,"Census Tract 758.15, Orange County, California",1619,42
6059075816,"Census Tract 758.16, Orange County, California",1227,35
6059075901,"Census Tract 759.01, Orange County, California",1715,44
6059075902,"Census Tract 759.02, Orange County, California",2811,62
6059076000,"Census Tract 760, Orange County, California",3135,111
6059076101,"Census Tract 761.01, Orange County, California",1809,63
6059076102,"Census Tract 761.02, Orange County, California",1709,58
6059076103,"Census Tract 761.03, Orange County, California",2501,70
6059076201,"Census Tract 762.01, Orange County, California",2060,87
6059076202,"Census Tract 762.02, Orange County, California",2003,51
6059076204,"Census Tract 762.04, Orange County, California",1175,90
6059076205,"Census Tract 762.05, Orange County, California",1679,46
6059076206,"Census Tract 762.06, Orange County, California",1603,40
6059076208,"Census Tract 762.08, Orange County, California",1630,53
6059086301,"Census Tract 863.01, Orange County, California",1778,91
6059086303,"Census Tract 863.03, Orange County, California",1769,42
6059086304,"Census Tract 863.04, Orange County, California",1755,46
6059086305,"Census Tract 863.05, Orange County, California",1122,36
6059086306,"Census Tract 863.06, Orange County, California",1310,33
6059086402,"Census Tract 864.02, Orange County, California",1383,56
6059086404,"Census Tract 864.04, Orange County, California",1515,31
6059086405,"Census Tract 864.05, Orange County, California",1676,37
6059086406,"Census Tract 864.06, Orange County, California",1415,33
6059086407,"Census Tract 864.07, Orange County, California",2087,78
6059086501,"Census Tract 865.01, Orange County, California",1153,65
6059086502,"Census Tract 865.02, Orange County, California",1357,42
6059086601,"Census Tract 866.01, Orange County, California",2290,55
6059086602,"Census Tract 866.02, Orange County, California",1772,54
6059086701,"Census Tract 867.01, Orange County, California",2504,45
6059086702,"Census Tract 867.02, Orange County, California",1900,38
6059086801,"Census Tract 868.01, Orange County, California",945,22
6059086802,"Census Tract 868.02, Orange County, California",1550,44
6059086803,"Census Tract 868.03, Orange County, California",2649,94
6059086901,"Census Tract 869.01, Orange County, California",2880,63
6059086902,"Census Tract 869.02, Orange County, California",1579,40
6059086903,"Census Tract 869.03, Orange County, California",2002,73
6059087001,"Census Tract 870.01, Orange County, California",1638,42
6059087002,"Census Tract 870.02, Orange County, California",2294,57
6059087101,"Census Tract 871.01, Orange County, California",1794,39
6059087102,"Census Tract 871.02, Orange County, California",1707,54
6059087103,"Census Tract 871.03, Orange County, California",2350,58
6059087105,"Census Tract 871.05, Orange County, California",1463,39
6059087106,"Census Tract 871.06, Orange County, California",1304,56
6059087200,"Census Tract 872, Orange County, California",2467,107
6059087300,"Census Tract 873, Orange County, California",2821,69
6059087401,"Census Tract 874.01, Orange County, California",887,45
6059087403,"Census Tract 874.03, Orange County, California",793,35
6059087404,"Census Tract 874.04, Orange County, California",813,28
6059087405,"Census Tract 874.05, Orange County, California",1588,61
6059087501,"Census Tract 875.01, Orange County, California",1449,37
6059087503,"Census Tract 875.03, Orange County, California",1892,41
6059087504,"Census Tract 875.04, Orange County, California",1806,88
6059087601,"Census Tract 876.01, Orange County, California",1495,39
6059087602,"Census Tract 876.02, Orange County, California",2187,50
6059087701,"Census Tract 877.01, Orange County, California",1684,38
6059087703,"Census Tract 877.03, Orange County, California",1667,68
6059087704,"Census Tract 877.04, Orange County, California",1395,46
6059087801,"Census Tract 878.01, Orange County, California",1735,96
6059087802,"Census Tract 878.02, Orange County, California",2350,102
6059087803,"Census Tract 878.03, Orange County, California",1448,43
6059087805,"Census Tract 878.05, Orange County, California",2012,68
6059087806,"Census Tract 878.06, Orange County, California",1647,51
6059087901,"Census Tract 879.01, Orange County, California",1108,68
6059087902,"Census Tract 879.02, Orange County, California",1421,68
6059088001,"Census Tract 880.01, Orange County, California",1231,32
6059088002,"Census Tract 880.02, Orange County, California",1075,36
6059088101,"Census Tract 881.01, Orange County, California",719,44
6059088104,"Census Tract 881.04, Orange County, California",1686,108
6059088105,"Census Tract 881.05, Orange County, California",1048,33
6059088106,"Census Tract 881.06, Orange County, California",1759,76
6059088107,"Census Tract 881.07, Orange County, California",1568,63
6059088201,"Census Tract 882.01, Orange County, California",1090,37
6059088202,"Census Tract 882.02, Orange County, California",857,26
6059088203,"Census Tract 882.03, Orange County, California",1381,75
6059088301,"Census Tract 883.01, Orange County, California",1739,44
6059088302,"Census Tract 883.02, Orange County, California",1770,48
6059088401,"Census Tract 884.01, Orange County, California",1307,38
6059088402,"Census Tract 884.02, Orange County, California",1328,61
6059088403,"Census Tract 884.03, Orange County, California",1700,73
6059088501,"Census Tract 885.01, Orange County, California",1789,66
6059088502,"Census Tract 885.02, Orange County, California",1346,74
6059088601,"Census Tract 886.01, Orange County, California",1967,60
6059088602,"Census Tract 886.02, Orange County, California",1419,53
6059088701,"Census Tract 887.01, Orange County, California",1913,58
6059088702,"Census Tract 887.02, Orange County, California",1413,53
6059088801,"Census Tract 888.01, Orange County, California",2509,128
6059088802,"Census Tract 888.02, Orange County, California",1418,50
6059088901,"Census Tract 889.01, Orange County, California",1688,48
6059088902,"Census Tract 889.02, Orange County, California",1151,34
6059088903,"Census Tract 889.03, Orange County, California",1883,50
6059088904,"Census Tract 889.04, Orange County, California",1397,58
6059088905,"Census Tract 889.05, Orange County, California",1334,47
6059089001,"Census Tract 890.01, Orange County, California",1680,45
6059089003,"Census Tract 890.03, Orange County, California",849,35
6059089004,"Census Tract 890.04, Orange County, California",1874,38
6059089102,"Census Tract 891.02, Orange County, California",1626,41
6059089104,"Census Tract 891.04, Orange County, California",1418,39
6059089105,"Census Tract 891.05, Orange County, California",1199,57
6059089106,"Census Tract 891.06, Orange County, California",869,80
6059089107,"Census Tract 891.07, Orange County, California",1290,47
