Id2,Geography,Total; Estimate; Population 25 years and over,Total; Margin of Error; Population 25 years and over,Percent of population 25 years and over  with Bachelor's degree,MOE Percent of population 25 years and over  with Bachelor's degree
6037600801,"Census Tract 6008.01, Los Angeles County, California",2030,222,21.1,6.8
6037600802,"Census Tract 6008.02, Los Angeles County, California",1973,156,29.4,8.9
6037600902,"Census Tract 6009.02, Los Angeles County, California",4312,395,11.3,4.2
6037600911,"Census Tract 6009.11, Los Angeles County, California",1847,199,6.4,3.7
6037600912,"Census Tract 6009.12, Los Angeles County, California",3349,334,6.4,2.6
6037601001,"Census Tract 6010.01, Los Angeles County, California",1659,211,12.9,6.4
6037601002,"Census Tract 6010.02, Los Angeles County, California",3412,318,20,4.2
6037601100,"Census Tract 6011, Los Angeles County, California",3492,346,7.8,5.9
6037601202,"Census Tract 6012.02, Los Angeles County, California",2245,297,5.5,3.3
6037601211,"Census Tract 6012.11, Los Angeles County, California",2227,631,12.1,5.4
6037601212,"Census Tract 6012.12, Los Angeles County, California",3804,476,7.8,4
6037601301,"Census Tract 6013.01, Los Angeles County, California",1386,183,17.7,7.5
6037601302,"Census Tract 6013.02, Los Angeles County, California",4635,311,13.5,3.6
6037601303,"Census Tract 6013.03, Los Angeles County, California",3395,325,11.1,4.5
6037601401,"Census Tract 6014.01, Los Angeles County, California",3303,400,12.6,4.5
6037601402,"Census Tract 6014.02, Los Angeles County, California",3466,324,8.5,3.3
6037601501,"Census Tract 6015.01, Los Angeles County, California",1678,211,7.6,4.7
6037601502,"Census Tract 6015.02, Los Angeles County, California",2006,280,1.7,2.2
6037601600,"Census Tract 6016, Los Angeles County, California",2687,386,1.6,1.1
6037601700,"Census Tract 6017, Los Angeles County, California",3027,801,3.2,3
6037601801,"Census Tract 6018.01, Los Angeles County, California",2064,314,0.4,0.8
6037601802,"Census Tract 6018.02, Los Angeles County, California",2464,217,3.1,1.7
6037601900,"Census Tract 6019, Los Angeles County, California",3296,411,4.2,3.1
6037602002,"Census Tract 6020.02, Los Angeles County, California",1763,294,10.1,6.8
6037602003,"Census Tract 6020.03, Los Angeles County, California",2541,238,2.9,2.2
6037602004,"Census Tract 6020.04, Los Angeles County, California",2207,255,12.4,6.4
6037602103,"Census Tract 6021.03, Los Angeles County, California",3925,610,7.6,3.7
6037602104,"Census Tract 6021.04, Los Angeles County, California",3474,333,6.1,2.6
6037602105,"Census Tract 6021.05, Los Angeles County, California",2494,402,6.9,3.5
6037602106,"Census Tract 6021.06, Los Angeles County, California",3519,397,11.7,4.3
6037602200,"Census Tract 6022, Los Angeles County, California",3809,409,17.9,5
6037602301,"Census Tract 6023.01, Los Angeles County, California",4112,257,16,4.2
6037602302,"Census Tract 6023.02, Los Angeles County, California",2029,151,30.9,5.9
6037602402,"Census Tract 6024.02, Los Angeles County, California",4167,321,9.9,3.2
6037602403,"Census Tract 6024.03, Los Angeles County, California",3056,272,13,5.1
6037602404,"Census Tract 6024.04, Los Angeles County, California",3611,345,14.2,7.3
6037602501,"Census Tract 6025.01, Los Angeles County, California",6378,466,9.8,3.4
6037602502,"Census Tract 6025.02, Los Angeles County, California",5596,502,10.2,4.2
6037602503,"Census Tract 6025.03, Los Angeles County, California",5041,436,16.4,5.3
6037602600,"Census Tract 6026, Los Angeles County, California",5702,471,12.2,4
6037602700,"Census Tract 6027, Los Angeles County, California",2509,445,16.1,4.6
6037602800,"Census Tract 6028, Los Angeles County, California",4249,498,11,3.6
6037602900,"Census Tract 6029, Los Angeles County, California",2546,311,5.6,2.8
6037603001,"Census Tract 6030.01, Los Angeles County, California",4080,269,16.8,5.5
6037603003,"Census Tract 6030.03, Los Angeles County, California",5263,515,12.8,4.1
6037603004,"Census Tract 6030.04, Los Angeles County, California",1544,311,14.6,5.1
6037603101,"Census Tract 6031.01, Los Angeles County, California",2588,253,21.7,5.1
6037603102,"Census Tract 6031.02, Los Angeles County, California",2612,242,12.4,7.1
6037603200,"Census Tract 6032, Los Angeles County, California",2140,199,26.6,11.8
6037603301,"Census Tract 6033.01, Los Angeles County, California",3174,464,15.2,6
6037603302,"Census Tract 6033.02, Los Angeles County, California",2619,200,13.8,5
6037603400,"Census Tract 6034, Los Angeles County, California",2843,269,15.9,4.7
6037603500,"Census Tract 6035, Los Angeles County, California",2004,204,13.9,5
6037603600,"Census Tract 6036, Los Angeles County, California",2735,210,28.4,5.4
6037603702,"Census Tract 6037.02, Los Angeles County, California",3391,306,21.4,5.4
6037603703,"Census Tract 6037.03, Los Angeles County, California",1679,145,15.5,5
6037603704,"Census Tract 6037.04, Los Angeles County, California",3310,294,8,3.8
6037603800,"Census Tract 6038, Los Angeles County, California",4906,368,10.6,4.1
6037603900,"Census Tract 6039, Los Angeles County, California",4768,357,13.2,3.5
6037604000,"Census Tract 6040, Los Angeles County, California",5571,394,11.3,3.5
6037604100,"Census Tract 6041, Los Angeles County, California",3682,366,10.3,3.2
6037609900,"Census Tract 6099, Los Angeles County, California",1282,263,14.1,8
6037620001,"Census Tract 6200.01, Los Angeles County, California",2741,218,26.2,5.9
6037620002,"Census Tract 6200.02, Los Angeles County, California",2308,152,36.6,6.6
6037620003,"Census Tract 6200.03, Los Angeles County, California",0,132,-,**
6037620101,"Census Tract 6201.01, Los Angeles County, California",3817,204,34,6.4
6037620102,"Census Tract 6201.02, Los Angeles County, California",2583,300,32.9,5.6
6037620201,"Census Tract 6202.01, Los Angeles County, California",1147,189,43.5,10
6037620301,"Census Tract 6203.01, Los Angeles County, California",2928,169,40.8,5.7
6037620302,"Census Tract 6203.02, Los Angeles County, California",4394,377,52.7,6
6037620303,"Census Tract 6203.03, Los Angeles County, California",3182,169,43.2,6.4
6037620400,"Census Tract 6204, Los Angeles County, California",3625,260,35.5,8.4
6037620501,"Census Tract 6205.01, Los Angeles County, California",3762,306,36.5,7.7
6037620521,"Census Tract 6205.21, Los Angeles County, California",3200,293,26.9,6.3
6037620522,"Census Tract 6205.22, Los Angeles County, California",3390,252,31.7,5.1
6037620601,"Census Tract 6206.01, Los Angeles County, California",3646,290,39,5.5
6037620602,"Census Tract 6206.02, Los Angeles County, California",3753,241,32.9,7.2
6037620701,"Census Tract 6207.01, Los Angeles County, California",4446,419,33.1,6.1
6037620702,"Census Tract 6207.02, Los Angeles County, California",5005,346,40.7,6.6
6037620800,"Census Tract 6208, Los Angeles County, California",5214,210,32.2,4.9
6037620901,"Census Tract 6209.01, Los Angeles County, California",1779,112,39.8,7.3
6037620902,"Census Tract 6209.02, Los Angeles County, California",2062,191,48,7.1
6037621001,"Census Tract 6210.01, Los Angeles County, California",3023,221,40,6.6
6037621002,"Census Tract 6210.02, Los Angeles County, California",4426,344,44.6,6.5
6037621101,"Census Tract 6211.01, Los Angeles County, California",5500,433,47.9,6.1
6037621102,"Census Tract 6211.02, Los Angeles County, California",2174,235,43,5.9
6037621201,"Census Tract 6212.01, Los Angeles County, California",4919,418,36.8,5.9
6037621202,"Census Tract 6212.02, Los Angeles County, California",2753,296,32.4,7.2
6037621301,"Census Tract 6213.01, Los Angeles County, California",4965,264,38.5,4.9
6037621321,"Census Tract 6213.21, Los Angeles County, California",3317,278,36.5,8.5
6037621322,"Census Tract 6213.22, Los Angeles County, California",2450,273,36.7,6.8
6037621400,"Census Tract 6214, Los Angeles County, California",3278,224,40.1,6.8
6037650001,"Census Tract 6500.01, Los Angeles County, California",4257,327,21.3,4.8
6037650002,"Census Tract 6500.02, Los Angeles County, California",4673,339,23.4,5.6
6037650101,"Census Tract 6501.01, Los Angeles County, California",4068,230,27,5.5
6037650102,"Census Tract 6501.02, Los Angeles County, California",1537,117,24.6,7.7
6037650200,"Census Tract 6502, Los Angeles County, California",3914,209,21.6,4.3
6037650300,"Census Tract 6503, Los Angeles County, California",4691,348,20.1,4.1
6037650400,"Census Tract 6504, Los Angeles County, California",2855,188,28.1,5.3
6037650501,"Census Tract 6505.01, Los Angeles County, California",2221,140,23,4.7
6037650502,"Census Tract 6505.02, Los Angeles County, California",3203,285,31.7,5.6
6037650601,"Census Tract 6506.01, Los Angeles County, California",5818,448,39.5,6
6037650602,"Census Tract 6506.02, Los Angeles County, California",4813,610,28.5,5.7
6037650603,"Census Tract 6506.03, Los Angeles County, California",2780,137,32.8,5.9
6037650701,"Census Tract 6507.01, Los Angeles County, California",1538,121,30.8,6.7
6037650702,"Census Tract 6507.02, Los Angeles County, California",3095,144,30.2,5.7
6037650800,"Census Tract 6508, Los Angeles County, California",4700,264,36.9,6.9
6037650901,"Census Tract 6509.01, Los Angeles County, California",3730,278,23.3,5.7
6037650902,"Census Tract 6509.02, Los Angeles County, California",4050,394,22,5.2
6037651001,"Census Tract 6510.01, Los Angeles County, California",3918,268,26.3,5.4
6037651002,"Census Tract 6510.02, Los Angeles County, California",3192,290,29.6,5.6
6037651101,"Census Tract 6511.01, Los Angeles County, California",3679,330,30.6,5.4
6037651102,"Census Tract 6511.02, Los Angeles County, California",2596,201,22.7,6.4
6037651201,"Census Tract 6512.01, Los Angeles County, California",3435,218,27.7,4.5
6037651221,"Census Tract 6512.21, Los Angeles County, California",2558,253,30.4,6.7
6037651222,"Census Tract 6512.22, Los Angeles County, California",4028,243,34.1,4.4
6037651301,"Census Tract 6513.01, Los Angeles County, California",3951,235,34.3,6.2
6037651302,"Census Tract 6513.02, Los Angeles County, California",4537,286,31.3,4.5
6037651400,"Census Tract 6514, Los Angeles County, California",5539,285,29.3,5
6037670001,"Census Tract 6700.01, Los Angeles County, California",2009,214,18.8,5.9
6037670002,"Census Tract 6700.02, Los Angeles County, California",2706,190,16.4,5.1
6037670003,"Census Tract 6700.03, Los Angeles County, California",4098,273,20.8,5.5
6037670100,"Census Tract 6701, Los Angeles County, California",4585,275,21.8,6
6037670201,"Census Tract 6702.01, Los Angeles County, California",2698,159,33.8,5
6037670202,"Census Tract 6702.02, Los Angeles County, California",1859,270,43.8,9.3
6037670301,"Census Tract 6703.01, Los Angeles County, California",3834,226,39.7,6.8
6037670321,"Census Tract 6703.21, Los Angeles County, California",2641,194,41.4,6.3
6037670322,"Census Tract 6703.22, Los Angeles County, California",3068,191,36.5,5
6037670403,"Census Tract 6704.03, Los Angeles County, California",1687,108,41.7,8
6037670405,"Census Tract 6704.05, Los Angeles County, California",1988,158,36.3,7.2
6037670406,"Census Tract 6704.06, Los Angeles County, California",1326,145,41.9,8.1
6037670407,"Census Tract 6704.07, Los Angeles County, California",3804,227,38.2,5.3
6037670411,"Census Tract 6704.11, Los Angeles County, California",2771,143,37.4,5.6
6037670413,"Census Tract 6704.13, Los Angeles County, California",3317,149,34.8,4.1
6037670414,"Census Tract 6704.14, Los Angeles County, California",2775,205,36.6,5.7
6037670500,"Census Tract 6705, Los Angeles County, California",1287,117,29.1,5.6
6037670600,"Census Tract 6706, Los Angeles County, California",4904,238,38.9,4.5
6037670701,"Census Tract 6707.01, Los Angeles County, California",5089,368,24.7,4.8
6037670702,"Census Tract 6707.02, Los Angeles County, California",3930,441,28.2,4.7
6037700100,"Census Tract 7001, Los Angeles County, California",8410,432,33,3.8
6037700200,"Census Tract 7002, Los Angeles County, California",5899,420,37.8,5.5
6037700300,"Census Tract 7003, Los Angeles County, California",5230,330,40.1,6.5
6037700400,"Census Tract 7004, Los Angeles County, California",4712,349,39.9,6.4
6037700500,"Census Tract 7005, Los Angeles County, California",7626,461,38.1,4.9
6037700600,"Census Tract 7006, Los Angeles County, California",3689,282,34.6,5.4
6037700700,"Census Tract 7007, Los Angeles County, California",2659,237,27.6,6.5
6037700800,"Census Tract 7008, Los Angeles County, California",7072,445,27.8,4.7
6037700901,"Census Tract 7009.01, Los Angeles County, California",2730,269,34.4,6.3
6037700902,"Census Tract 7009.02, Los Angeles County, California",4449,270,33.5,5.2
6037701000,"Census Tract 7010, Los Angeles County, California",4100,281,38.3,5.3
6037701100,"Census Tract 7011, Los Angeles County, California",1296,683,8.6,3.6
6037701201,"Census Tract 7012.01, Los Angeles County, California",2738,182,32.9,6.7
6037701202,"Census Tract 7012.02, Los Angeles County, California",2370,170,29.6,5.5
6037701301,"Census Tract 7013.01, Los Angeles County, California",5302,361,35.3,4.3
6037701302,"Census Tract 7013.02, Los Angeles County, California",4003,244,45.9,6
6037701400,"Census Tract 7014, Los Angeles County, California",5645,356,36.2,5.1
6037701501,"Census Tract 7015.01, Los Angeles County, California",4115,267,39.9,5.8
6037701502,"Census Tract 7015.02, Los Angeles County, California",3169,330,39.4,7.4
6037701601,"Census Tract 7016.01, Los Angeles County, California",2861,193,35,6.2
6037701602,"Census Tract 7016.02, Los Angeles County, California",2859,318,47.6,7.5
6037701701,"Census Tract 7017.01, Los Angeles County, California",2560,179,34.8,6.2
6037701702,"Census Tract 7017.02, Los Angeles County, California",2311,445,33.3,8.6
6037701801,"Census Tract 7018.01, Los Angeles County, California",4047,376,21.3,6.1
6037701802,"Census Tract 7018.02, Los Angeles County, California",3786,853,20.2,5.9
6037701900,"Census Tract 7019, Los Angeles County, California",3005,320,33.6,7.5
6037702000,"Census Tract 7020, Los Angeles County, California",4366,318,47.4,5.9
6037702100,"Census Tract 7021, Los Angeles County, California",5407,381,33.2,4.9
6037702201,"Census Tract 7022.01, Los Angeles County, California",3448,296,36.2,7
6037702202,"Census Tract 7022.02, Los Angeles County, California",2704,183,33.4,6.4
6037702300,"Census Tract 7023, Los Angeles County, California",4823,364,32.1,5
6037702400,"Census Tract 7024, Los Angeles County, California",3395,217,27.4,5.5
6037702501,"Census Tract 7025.01, Los Angeles County, California",3417,216,35.4,5.8
6037702502,"Census Tract 7025.02, Los Angeles County, California",3223,166,37.5,7.1
6037702600,"Census Tract 7026, Los Angeles County, California",4299,292,28.9,5.1
6037702700,"Census Tract 7027, Los Angeles County, California",2382,127,25.6,5.3
6037702801,"Census Tract 7028.01, Los Angeles County, California",3706,334,25.3,6.3
6037702802,"Census Tract 7028.02, Los Angeles County, California",1438,135,18.2,8.2
6037702803,"Census Tract 7028.03, Los Angeles County, California",1932,172,15.9,6.2
6037702901,"Census Tract 7029.01, Los Angeles County, California",7838,482,42.5,4.1
6037703001,"Census Tract 7030.01, Los Angeles County, California",4738,370,40.4,4.6
6037703002,"Census Tract 7030.02, Los Angeles County, California",5115,268,22,4.9
6037703100,"Census Tract 7031, Los Angeles County, California",4225,295,19.4,5.3
6037703200,"Census Tract 7032, Los Angeles County, California",3963,382,24.3,4.8
6037800101,"Census Tract 8001.01, Los Angeles County, California",3175,252,36.1,5
6037800102,"Census Tract 8001.02, Los Angeles County, California",4953,299,33.6,5.9
6037800201,"Census Tract 8002.01, Los Angeles County, California",6034,319,33.2,4.1
6037800202,"Census Tract 8002.02, Los Angeles County, California",3904,299,31.7,5.9
6037800302,"Census Tract 8003.02, Los Angeles County, California",5637,426,35,5.8
6037800303,"Census Tract 8003.03, Los Angeles County, California",4707,318,31.5,5.4
6037800323,"Census Tract 8003.23, Los Angeles County, California",5868,471,34,4.8
6037800324,"Census Tract 8003.24, Los Angeles County, California",5133,289,35.1,5.1
6037800325,"Census Tract 8003.25, Los Angeles County, California",2446,212,37.4,4.8
6037800326,"Census Tract 8003.26, Los Angeles County, California",3514,268,33.7,5.7
6037800401,"Census Tract 8004.01, Los Angeles County, California",1322,182,41.6,15
6037800403,"Census Tract 8004.03, Los Angeles County, California",5235,332,30.6,5.5
6037800404,"Census Tract 8004.04, Los Angeles County, California",1658,219,26.1,6.3
6037800501,"Census Tract 8005.01, Los Angeles County, California",2444,206,36.7,7.7
6037800502,"Census Tract 8005.02, Los Angeles County, California",1865,231,41.2,7.4
6037900101,"Census Tract 9001.01, Los Angeles County, California",7323,605,7,2.5
6037900102,"Census Tract 9001.02, Los Angeles County, California",733,218,3.4,4.9
6037900200,"Census Tract 9002, Los Angeles County, California",841,197,3.3,3.5
6037900300,"Census Tract 9003, Los Angeles County, California",1597,235,10.1,4.2
6037900501,"Census Tract 9005.01, Los Angeles County, California",3729,461,7.4,3.6
6037900502,"Census Tract 9005.02, Los Angeles County, California",4379,376,7.2,2.9
6037900503,"Census Tract 9005.03, Los Angeles County, California",4963,424,9.4,3.2
6037900504,"Census Tract 9005.04, Los Angeles County, California",2593,272,13.5,3.8
6037900602,"Census Tract 9006.02, Los Angeles County, California",2747,352,3.2,2.4
6037900604,"Census Tract 9006.04, Los Angeles County, California",5083,367,9.9,3.4
6037900605,"Census Tract 9006.05, Los Angeles County, California",3301,363,4.8,2.6
6037900606,"Census Tract 9006.06, Los Angeles County, California",2107,284,8.2,4.3
6037900607,"Census Tract 9006.07, Los Angeles County, California",2052,315,6.3,4.2
6037900701,"Census Tract 9007.01, Los Angeles County, California",3022,430,6.8,3.2
6037900703,"Census Tract 9007.03, Los Angeles County, California",2496,297,17.8,8
6037900704,"Census Tract 9007.04, Los Angeles County, California",1567,194,17.4,7.1
6037900705,"Census Tract 9007.05, Los Angeles County, California",2913,310,15.4,6
6037900803,"Census Tract 9008.03, Los Angeles County, California",4546,354,14,4.8
6037900804,"Census Tract 9008.04, Los Angeles County, California",1690,240,2.6,2.4
6037900805,"Census Tract 9008.05, Los Angeles County, California",3376,498,5.4,2.5
6037900806,"Census Tract 9008.06, Los Angeles County, California",1732,189,10.9,5.7
6037900900,"Census Tract 9009, Los Angeles County, California",2203,239,15.2,5.3
6037901003,"Census Tract 9010.03, Los Angeles County, California",3586,362,2.5,1.4
6037901004,"Census Tract 9010.04, Los Angeles County, California",5125,518,18.2,4.4
6037901005,"Census Tract 9010.05, Los Angeles County, California",5176,388,17.5,3.9
6037901006,"Census Tract 9010.06, Los Angeles County, California",6962,618,15,4
6037901007,"Census Tract 9010.07, Los Angeles County, California",1265,78,11.2,4.6
6037901101,"Census Tract 9011.01, Los Angeles County, California",2985,279,11.8,4
6037901102,"Census Tract 9011.02, Los Angeles County, California",2753,318,12.4,4.5
6037901203,"Census Tract 9012.03, Los Angeles County, California",1112,137,7.7,3.8
6037901204,"Census Tract 9012.04, Los Angeles County, California",1426,206,21.9,8.4
6037901205,"Census Tract 9012.05, Los Angeles County, California",5260,438,17.9,3.9
6037901206,"Census Tract 9012.06, Los Angeles County, California",826,160,13.2,5.3
6037901207,"Census Tract 9012.07, Los Angeles County, California",1951,134,19.8,4.4
6037910000,"Census Tract 9100, Los Angeles County, California",6781,486,4.2,1.5
6037910100,"Census Tract 9101, Los Angeles County, California",583,195,5,6.6
6037910201,"Census Tract 9102.01, Los Angeles County, California",2291,239,9.2,3.1
6037910202,"Census Tract 9102.02, Los Angeles County, California",2960,301,16.7,5.2
6037910203,"Census Tract 9102.03, Los Angeles County, California",6361,593,15.3,3.6
6037910204,"Census Tract 9102.04, Los Angeles County, California",6521,310,23.6,3.9
6037910205,"Census Tract 9102.05, Los Angeles County, California",849,131,11.9,7.5
6037910206,"Census Tract 9102.06, Los Angeles County, California",1401,241,16.5,10.6
6037910301,"Census Tract 9103.01, Los Angeles County, California",2777,251,14.2,4.3
6037910302,"Census Tract 9103.02, Los Angeles County, California",3742,196,13.8,3.5
6037910401,"Census Tract 9104.01, Los Angeles County, California",3172,322,21.3,5.8
6037910402,"Census Tract 9104.02, Los Angeles County, California",1334,236,1.3,1.5
6037910403,"Census Tract 9104.03, Los Angeles County, California",1179,212,2.5,2.5
6037910404,"Census Tract 9104.04, Los Angeles County, California",2529,315,4,2.7
6037910501,"Census Tract 9105.01, Los Angeles County, California",2271,300,3.5,3.1
6037910502,"Census Tract 9105.02, Los Angeles County, California",1889,252,0.9,1.2
6037910503,"Census Tract 9105.03, Los Angeles County, California",4135,413,5.2,1.9
6037910601,"Census Tract 9106.01, Los Angeles County, California",3174,287,3.9,2.6
6037910602,"Census Tract 9106.02, Los Angeles County, California",1873,210,5.3,3.2
6037910603,"Census Tract 9106.03, Los Angeles County, California",3824,362,6.9,3.9
6037910604,"Census Tract 9106.04, Los Angeles County, California",3525,369,9,3.9
6037910703,"Census Tract 9107.03, Los Angeles County, California",5258,441,6.4,3.1
6037910704,"Census Tract 9107.04, Los Angeles County, California",4453,315,6,2.4
6037910705,"Census Tract 9107.05, Los Angeles County, California",4191,356,9,3.8
6037910706,"Census Tract 9107.06, Los Angeles County, California",2401,231,7.2,5.8
6037910707,"Census Tract 9107.07, Los Angeles County, California",2555,289,6.5,3
6037910708,"Census Tract 9107.08, Los Angeles County, California",266,71,3.8,5.9
6037910709,"Census Tract 9107.09, Los Angeles County, California",1171,287,11.4,4.3
6037910710,"Census Tract 9107.10, Los Angeles County, California",6477,409,6.3,2.2
6037910803,"Census Tract 9108.03, Los Angeles County, California",2630,237,12.6,4.7
6037910804,"Census Tract 9108.04, Los Angeles County, California",1803,193,14,4.4
6037910805,"Census Tract 9108.05, Los Angeles County, California",3101,353,8.6,3.8
6037910806,"Census Tract 9108.06, Los Angeles County, California",224,142,9.4,10.9
6037910807,"Census Tract 9108.07, Los Angeles County, California",3378,227,16.1,4.6
6037910808,"Census Tract 9108.08, Los Angeles County, California",2441,207,15.4,4.6
6037910809,"Census Tract 9108.09, Los Angeles County, California",1277,145,14,5.4
6037910810,"Census Tract 9108.10, Los Angeles County, California",1496,101,18.3,5.8
6037910901,"Census Tract 9109.01, Los Angeles County, California",1279,235,10.1,5.5
6037910902,"Census Tract 9109.02, Los Angeles County, California",1035,260,9.9,7.1
6037911000,"Census Tract 9110, Los Angeles County, California",985,269,9.7,9.2
6037920013,"Census Tract 9200.13, Los Angeles County, California",2465,304,22.4,7.6
6037920014,"Census Tract 9200.14, Los Angeles County, California",310,160,16.5,21.5
6037920015,"Census Tract 9200.15, Los Angeles County, California",3167,165,25.7,5.3
6037920016,"Census Tract 9200.16, Los Angeles County, California",3287,226,32.8,5.3
6037920017,"Census Tract 9200.17, Los Angeles County, California",2767,184,14.9,4.3
6037920018,"Census Tract 9200.18, Los Angeles County, California",1425,105,17.5,4.7
6037920019,"Census Tract 9200.19, Los Angeles County, California",4776,283,24.5,4.5
6037920020,"Census Tract 9200.20, Los Angeles County, California",4080,218,23.8,4.6
6037920023,"Census Tract 9200.23, Los Angeles County, California",1639,162,5.5,4.1
6037920026,"Census Tract 9200.26, Los Angeles County, California",180,100,17.2,20.9
6037920027,"Census Tract 9200.27, Los Angeles County, California",0,132,-,**
6037920028,"Census Tract 9200.28, Los Angeles County, California",2464,284,29.8,6.6
6037920029,"Census Tract 9200.29, Los Angeles County, California",2256,143,16.9,6.9
6037920030,"Census Tract 9200.30, Los Angeles County, California",3522,347,22.7,4.9
6037920031,"Census Tract 9200.31, Los Angeles County, California",4074,316,18.6,3.8
6037920032,"Census Tract 9200.32, Los Angeles County, California",1477,191,26,7.3
6037920033,"Census Tract 9200.33, Los Angeles County, California",293,125,3.8,5.9
6037920034,"Census Tract 9200.34, Los Angeles County, California",1989,245,20.9,4.8
6037920035,"Census Tract 9200.35, Los Angeles County, California",4156,423,17.4,5
6037920036,"Census Tract 9200.36, Los Angeles County, California",2201,252,7,3.6
6037920037,"Census Tract 9200.37, Los Angeles County, California",3679,559,12.2,4.4
6037920038,"Census Tract 9200.38, Los Angeles County, California",2766,232,14.3,4.3
6037920039,"Census Tract 9200.39, Los Angeles County, California",1278,127,19.1,8
6037920040,"Census Tract 9200.40, Los Angeles County, California",1524,138,25.7,6.7
6037920041,"Census Tract 9200.41, Los Angeles County, California",1631,210,28.6,9.5
6037920042,"Census Tract 9200.42, Los Angeles County, California",4824,313,18.6,4.8
6037920043,"Census Tract 9200.43, Los Angeles County, California",2211,296,33.7,8.7
6037920103,"Census Tract 9201.03, Los Angeles County, California",2674,406,26.8,7.5
6037920104,"Census Tract 9201.04, Los Angeles County, California",1609,158,16.6,5.2
6037920105,"Census Tract 9201.05, Los Angeles County, California",8024,328,26.5,4.7
6037920106,"Census Tract 9201.06, Los Angeles County, California",1702,177,8.3,4.6
6037920107,"Census Tract 9201.07, Los Angeles County, California",1932,245,34.1,7.6
6037920108,"Census Tract 9201.08, Los Angeles County, California",1450,200,30.7,9.6
6037920109,"Census Tract 9201.09, Los Angeles County, California",1958,236,31.8,6.8
6037920110,"Census Tract 9201.10, Los Angeles County, California",3262,129,42.5,6
6037920111,"Census Tract 9201.11, Los Angeles County, California",1911,109,29,6
6037920112,"Census Tract 9201.12, Los Angeles County, California",3097,161,18.2,4.7
6037920113,"Census Tract 9201.13, Los Angeles County, California",4773,284,27.7,5
6037920200,"Census Tract 9202, Los Angeles County, California",5067,274,3.6,1.5
6037920303,"Census Tract 9203.03, Los Angeles County, California",832,89,25.6,10.7
6037920312,"Census Tract 9203.12, Los Angeles County, California",3416,441,20.2,4.3
6037920313,"Census Tract 9203.13, Los Angeles County, California",3521,228,22.7,4.9
6037920314,"Census Tract 9203.14, Los Angeles County, California",1671,138,34.1,7
6037920322,"Census Tract 9203.22, Los Angeles County, California",1845,154,22.7,7
6037920326,"Census Tract 9203.26, Los Angeles County, California",3754,242,40.1,5.2
6037920327,"Census Tract 9203.27, Los Angeles County, California",7290,395,38,4.4
6037920328,"Census Tract 9203.28, Los Angeles County, California",1051,147,35.5,11.3
6037920329,"Census Tract 9203.29, Los Angeles County, California",3597,198,27.8,6.3
6037920330,"Census Tract 9203.30, Los Angeles County, California",3533,302,28.2,6.9
6037920331,"Census Tract 9203.31, Los Angeles County, California",2777,191,33.5,6
6037920332,"Census Tract 9203.32, Los Angeles County, California",1138,169,23.5,7.5
6037920334,"Census Tract 9203.34, Los Angeles County, California",4372,285,29.4,4.9
6037920335,"Census Tract 9203.35, Los Angeles County, California",7778,674,8,2.7
6037930000,"Census Tract 9300, Los Angeles County, California",345,132,8.7,9.1
6037930100,"Census Tract 9301, Los Angeles County, California",148,96,6.8,12
6037930200,"Census Tract 9302, Los Angeles County, California",381,79,18.6,12.3
6039000102,"Census Tract 1.02, Madera County, California",3278,425,18.6,5.3
6039000103,"Census Tract 1.03, Madera County, California",4302,437,9.9,3.8
6039000104,"Census Tract 1.04, Madera County, California",3318,373,16.8,4.6
6039000105,"Census Tract 1.05, Madera County, California",10152,529,12.7,2.9
6039000200,"Census Tract 2, Madera County, California",10904,1162,5,1.4
6039000300,"Census Tract 3, Madera County, California",4468,719,7.1,3
6039000400,"Census Tract 4, Madera County, California",767,114,6.5,5.4
6039000502,"Census Tract 5.02, Madera County, California",4271,488,4.4,2.9
6039000503,"Census Tract 5.03, Madera County, California",4733,423,12,3.1
6039000506,"Census Tract 5.06, Madera County, California",3799,285,7.1,3.5
6039000507,"Census Tract 5.07, Madera County, California",5054,384,7.9,3.1
6039000508,"Census Tract 5.08, Madera County, California",4440,590,5,2.5
6039000509,"Census Tract 5.09, Madera County, California",4084,329,20.6,4.5
6039000601,"Census Tract 6.01, Madera County, California",4428,376,4.2,2.2
6039000602,"Census Tract 6.02, Madera County, California",2490,364,2.2,2.3
6039000700,"Census Tract 7, Madera County, California",6472,405,11.4,2.9
6039000800,"Census Tract 8, Madera County, California",3676,401,3.6,2.5
6039000900,"Census Tract 9, Madera County, California",3453,366,1.1,1.1
6039001000,"Census Tract 10, Madera County, California",4069,375,8.9,2.7
6041101100,"Census Tract 1011, Marin County, California",1959,162,34,7.6
6041101200,"Census Tract 1012, Marin County, California",1860,139,21.7,5.6
6041102100,"Census Tract 1021, Marin County, California",1652,133,37.2,7.6
6041102201,"Census Tract 1022.01, Marin County, California",6972,342,21.6,3.8
6041103100,"Census Tract 1031, Marin County, California",5072,288,32.9,4.8
6041103200,"Census Tract 1032, Marin County, California",4688,456,30.5,6.5
6041104101,"Census Tract 1041.01, Marin County, California",5561,403,29.3,4.1
6041104102,"Census Tract 1041.02, Marin County, California",3336,376,20.2,4.4
6041104200,"Census Tract 1042, Marin County, California",4249,274,31.6,5.4
6041104300,"Census Tract 1043, Marin County, California",1044,115,25,7.7
6041105000,"Census Tract 1050, Marin County, California",4015,287,25.6,4.6
