Id2,Geography,All families - Total; Estimate; Families,All families - Total; Margin of Error; Families,All families - Percent  below poverty level; Estimate; Families,All families - Percent  below poverty level; Margin of Error; Families
6037920108,"Census Tract 9201.08, Los Angeles County, California",582,93,1.5,2.6
6037920109,"Census Tract 9201.09, Los Angeles County, California",851,111,0,4.6
6037920110,"Census Tract 9201.10, Los Angeles County, California",1363,79,1.5,1.8
6037920111,"Census Tract 9201.11, Los Angeles County, California",767,75,3.4,5
6037920112,"Census Tract 9201.12, Los Angeles County, California",1152,98,1.9,2.3
6037920113,"Census Tract 9201.13, Los Angeles County, California",1855,164,5.1,3.4
6037920200,"Census Tract 9202, Los Angeles County, California",0,132,-,**
6037920303,"Census Tract 9203.03, Los Angeles County, California",239,75,3.3,5.2
6037920312,"Census Tract 9203.12, Los Angeles County, California",1225,123,7,6.3
6037920313,"Census Tract 9203.13, Los Angeles County, California",1359,129,3.5,3.4
6037920314,"Census Tract 9203.14, Los Angeles County, California",750,73,0.8,1.5
6037920322,"Census Tract 9203.22, Los Angeles County, California",642,106,3.4,5.2
6037920326,"Census Tract 9203.26, Los Angeles County, California",1465,109,7.9,4.4
6037920327,"Census Tract 9203.27, Los Angeles County, California",3288,170,2.2,2.2
6037920328,"Census Tract 9203.28, Los Angeles County, California",417,57,0,9.1
6037920329,"Census Tract 9203.29, Los Angeles County, California",1536,128,1.2,1.6
6037920330,"Census Tract 9203.30, Los Angeles County, California",1244,182,6.8,7.4
6037920331,"Census Tract 9203.31, Los Angeles County, California",1098,67,0.9,1.4
6037920332,"Census Tract 9203.32, Los Angeles County, California",340,66,5,7.3
6037920334,"Census Tract 9203.34, Los Angeles County, California",1615,126,5.8,4.5
6037920335,"Census Tract 9203.35, Los Angeles County, California",2614,171,23,7.2
6037930000,"Census Tract 9300, Los Angeles County, California",106,63,0,30.4
6037930100,"Census Tract 9301, Los Angeles County, California",30,26,0,60.1
6037930200,"Census Tract 9302, Los Angeles County, California",55,35,0,44.4
6039000102,"Census Tract 1.02, Madera County, California",1391,196,7.4,5.8
6039000103,"Census Tract 1.03, Madera County, California",1608,246,6.2,5.2
6039000104,"Census Tract 1.04, Madera County, California",1317,165,3.5,3.2
6039000105,"Census Tract 1.05, Madera County, California",4206,234,7.2,3.1
6039000200,"Census Tract 2, Madera County, California",1518,209,15.7,5.5
6039000300,"Census Tract 3, Madera County, California",1733,320,17.5,7.1
6039000400,"Census Tract 4, Madera County, California",350,59,11.1,10.7
6039000502,"Census Tract 5.02, Madera County, California",1908,185,25.4,7.9
6039000503,"Census Tract 5.03, Madera County, California",1877,202,6.4,3.8
6039000506,"Census Tract 5.06, Madera County, California",1435,143,10.9,5.6
6039000507,"Census Tract 5.07, Madera County, California",2035,215,12.9,4.8
6039000508,"Census Tract 5.08, Madera County, California",1514,160,12.7,7.1
6039000509,"Census Tract 5.09, Madera County, California",1823,143,2.8,2.7
6039000601,"Census Tract 6.01, Madera County, California",1976,178,19.6,6.2
6039000602,"Census Tract 6.02, Madera County, California",979,117,34.6,8.7
6039000700,"Census Tract 7, Madera County, California",2549,176,3.8,2
6039000800,"Census Tract 8, Madera County, California",1246,146,29.1,7.9
6039000900,"Census Tract 9, Madera County, California",1403,177,39.3,8.2
6039001000,"Census Tract 10, Madera County, California",1587,129,9.1,5.2
6041101100,"Census Tract 1011, Marin County, California",867,87,9,7.1
6041101200,"Census Tract 1012, Marin County, California",737,94,9.8,7.6
6041102100,"Census Tract 1021, Marin County, California",721,69,1,1.7
6041102201,"Census Tract 1022.01, Marin County, California",2714,192,8.3,4.1
6041103100,"Census Tract 1031, Marin County, California",2119,190,4.3,3.1
6041103200,"Census Tract 1032, Marin County, California",1575,180,1.5,2.1
6041104101,"Census Tract 1041.01, Marin County, California",2088,168,0,1.9
6041104102,"Census Tract 1041.02, Marin County, California",1230,190,5.7,5.8
6041104200,"Census Tract 1042, Marin County, California",1276,129,1.3,2.1
6041104300,"Census Tract 1043, Marin County, California",387,62,6.5,5.5
6041105000,"Census Tract 1050, Marin County, California",1574,147,5,3.1
6041106001,"Census Tract 1060.01, Marin County, California",687,150,0,5.7
6041106002,"Census Tract 1060.02, Marin County, California",1369,162,8.6,6.9
6041107000,"Census Tract 1070, Marin County, California",1681,163,3.5,2.8
6041108100,"Census Tract 1081, Marin County, California",1882,164,1.5,1.7
6041108200,"Census Tract 1082, Marin County, California",1735,196,2.7,2.1
6041109000,"Census Tract 1090, Marin County, California",1748,183,2.3,2.4
6041110100,"Census Tract 1101, Marin County, California",1378,207,2.5,3.1
6041110200,"Census Tract 1102, Marin County, California",1801,135,0.8,1.3
6041111000,"Census Tract 1110, Marin County, California",1061,191,0,3.7
6041112100,"Census Tract 1121, Marin County, California",993,132,4.7,4.2
6041112200,"Census Tract 1122, Marin County, California",1999,245,18.7,7.2
6041113000,"Census Tract 1130, Marin County, California",1075,139,3.1,3.6
6041114100,"Census Tract 1141, Marin County, California",1300,144,4,4.6
6041114200,"Census Tract 1142, Marin County, California",749,95,1.2,1.9
6041115000,"Census Tract 1150, Marin County, California",2083,140,5.5,4.3
6041116000,"Census Tract 1160, Marin County, California",761,110,2.2,2.7
6041117000,"Census Tract 1170, Marin County, California",1102,124,1.1,1.9
6041118100,"Census Tract 1181, Marin County, California",551,52,2,2.1
6041118200,"Census Tract 1182, Marin County, California",30,28,0,60.1
6041119100,"Census Tract 1191, Marin County, California",1215,100,3.8,4.2
6041119200,"Census Tract 1192, Marin County, California",1568,151,0,2.5
6041120000,"Census Tract 1200, Marin County, California",1438,148,1,1.6
6041121100,"Census Tract 1211, Marin County, California",1398,125,0.7,1.1
6041121200,"Census Tract 1212, Marin County, California",1514,170,0,2.6
6041122000,"Census Tract 1220, Marin County, California",12,20,0,95
6041123000,"Census Tract 1230, Marin County, California",596,75,0,6.5
6041124100,"Census Tract 1241, Marin County, California",1324,152,2,2.2
6041124200,"Census Tract 1242, Marin County, California",1472,123,1.8,2.2
6041125000,"Census Tract 1250, Marin County, California",844,118,8.3,5.6
6041126100,"Census Tract 1261, Marin County, California",1342,138,0,2.9
6041126200,"Census Tract 1262, Marin County, California",854,148,1.1,1.9
6041127000,"Census Tract 1270, Marin County, California",959,117,2,2.3
6041128100,"Census Tract 1281, Marin County, California",1719,195,0.6,1
6041128200,"Census Tract 1282, Marin County, California",1312,118,0.8,1.3
6041129000,"Census Tract 1290, Marin County, California",714,150,24.9,11.1
6041130200,"Census Tract 1302, Marin County, California",1864,187,0,2.1
6041131000,"Census Tract 1310, Marin County, California",91,37,0,33.9
6041132100,"Census Tract 1321, Marin County, California",434,89,8.1,7.7
6041132200,"Census Tract 1322, Marin County, California",426,114,4.5,4.7
6041133000,"Census Tract 1330, Marin County, California",665,114,5.1,3.5
6043000100,"Census Tract 1, Mariposa County, California",1920,292,7,6.3
6043000200,"Census Tract 2, Mariposa County, California",1056,159,2.5,3.1
6043000300,"Census Tract 3, Mariposa County, California",2116,254,10.4,8.6
6043000400,"Census Tract 4, Mariposa County, California",146,95,0,23.6
6045010100,"Census Tract 101, Mendocino County, California",697,101,25,10.6
6045010200,"Census Tract 102, Mendocino County, California",802,121,13,6.3
6045010300,"Census Tract 103, Mendocino County, California",1023,134,14.8,7.6
6045010400,"Census Tract 104, Mendocino County, California",741,105,10.7,7.3
6045010500,"Census Tract 105, Mendocino County, California",959,145,23.5,9.7
6045010600,"Census Tract 106, Mendocino County, California",1899,214,5.7,3
6045010700,"Census Tract 107, Mendocino County, California",1575,179,15,7.9
6045010801,"Census Tract 108.01, Mendocino County, California",1505,164,8,5.4
6045010802,"Census Tract 108.02, Mendocino County, California",513,73,10.9,7.7
6045010900,"Census Tract 109, Mendocino County, California",1295,149,8.3,5.3
6045011000,"Census Tract 110, Mendocino County, California",1962,261,3,2.1
6045011100,"Census Tract 111, Mendocino County, California",1071,171,9.1,4.3
6045011200,"Census Tract 112, Mendocino County, California",736,107,9.6,6
6045011300,"Census Tract 113, Mendocino County, California",1489,173,11.2,6
6045011400,"Census Tract 114, Mendocino County, California",941,129,1.3,2
6045011500,"Census Tract 115, Mendocino County, California",1689,184,14,5.2
6045011600,"Census Tract 116, Mendocino County, California",998,170,21.7,9.4
6045011700,"Census Tract 117, Mendocino County, California",1015,132,13,7.8
6045011800,"Census Tract 118, Mendocino County, California",625,106,14.7,9.6
6047000100,"Census Tract 1, Merced County, California",304,51,11.5,7.7
6047000200,"Census Tract 2, Merced County, California",3176,193,12.8,3.7
6047000301,"Census Tract 3.01, Merced County, California",1147,135,8.4,6.8
6047000303,"Census Tract 3.03, Merced County, California",561,90,17.1,11.3
6047000304,"Census Tract 3.04, Merced County, California",2058,160,10.8,5.2
6047000400,"Census Tract 4, Merced County, California",2397,194,6.3,3
6047000503,"Census Tract 5.03, Merced County, California",544,73,12.9,11.4
6047000504,"Census Tract 5.04, Merced County, California",1268,141,22.9,9.3
6047000505,"Census Tract 5.05, Merced County, California",1479,152,26.5,7.1
6047000601,"Census Tract 6.01, Merced County, California",1264,121,21.6,9
6047000602,"Census Tract 6.02, Merced County, California",809,112,9.5,7.4
6047000603,"Census Tract 6.03, Merced County, California",1390,161,19.9,9.9
6047000701,"Census Tract 7.01, Merced County, California",700,99,41.9,15.1
6047000702,"Census Tract 7.02, Merced County, California",1125,133,4,2.8
6047000801,"Census Tract 8.01, Merced County, California",1020,139,18.2,7.4
6047000802,"Census Tract 8.02, Merced County, California",931,109,12.4,6.2
6047000901,"Census Tract 9.01, Merced County, California",851,106,14.9,6.3
6047000902,"Census Tract 9.02, Merced County, California",1651,145,14.8,6.7
6047000903,"Census Tract 9.03, Merced County, California",312,65,4.2,6.1
6047001002,"Census Tract 10.02, Merced County, California",2626,231,13.6,4.7
6047001003,"Census Tract 10.03, Merced County, California",856,135,32.5,11.3
6047001004,"Census Tract 10.04, Merced County, California",786,153,24.7,10.5
6047001005,"Census Tract 10.05, Merced County, California",533,124,34.7,13.5
6047001101,"Census Tract 11.01, Merced County, California",1511,161,10,6.4
6047001102,"Census Tract 11.02, Merced County, California",716,69,6,5.4
6047001200,"Census Tract 12, Merced County, California",1392,124,12.3,5.9
6047001301,"Census Tract 13.01, Merced County, California",704,118,25,11.1
6047001302,"Census Tract 13.02, Merced County, California",773,116,19.9,11.4
6047001401,"Census Tract 14.01, Merced County, California",938,130,24.2,11.3
6047001402,"Census Tract 14.02, Merced County, California",1126,155,17.4,7.2
6047001501,"Census Tract 15.01, Merced County, California",561,110,15.9,9.5
6047001502,"Census Tract 15.02, Merced County, California",617,118,25,13.3
6047001503,"Census Tract 15.03, Merced County, California",981,106,26,9.9
6047001601,"Census Tract 16.01, Merced County, California",808,133,49.3,14.3
6047001602,"Census Tract 16.02, Merced County, California",1386,157,35.1,11.6
6047001700,"Census Tract 17, Merced County, California",1582,177,27.7,8.2
6047001801,"Census Tract 18.01, Merced County, California",823,117,10.2,10
6047001802,"Census Tract 18.02, Merced County, California",464,107,33.8,18
6047001901,"Census Tract 19.01, Merced County, California",1088,112,14.6,5.4
6047001902,"Census Tract 19.02, Merced County, California",614,63,19.2,5.5
6047002000,"Census Tract 20, Merced County, California",2018,192,13.8,6.3
6047002100,"Census Tract 21, Merced County, California",837,118,18.5,7.7
6047002201,"Census Tract 22.01, Merced County, California",1345,164,36.1,10.7
6047002202,"Census Tract 22.02, Merced County, California",2063,190,8.1,4.7
6047002301,"Census Tract 23.01, Merced County, California",1629,141,3.7,2.9
6047002302,"Census Tract 23.02, Merced County, California",3028,197,15.8,6
6047002400,"Census Tract 24, Merced County, California",2185,180,15.9,6.4
6049000100,"Census Tract 1, Modoc County, California",933,144,16.2,6.6
6049000200,"Census Tract 2, Modoc County, California",603,92,12.1,7.4
6049000300,"Census Tract 3, Modoc County, California",607,136,6.8,5.1
6049000400,"Census Tract 4, Modoc County, California",368,64,21.2,8.4
6051000100,"Census Tract 1, Mono County, California",1467,205,10.7,8
6051000200,"Census Tract 2, Mono County, California",1311,282,8.6,5.9
6053000101,"Census Tract 1.01, Monterey County, California",435,69,6,6.6
6053000102,"Census Tract 1.02, Monterey County, California",2121,147,11.1,5.8
6053000103,"Census Tract 1.03, Monterey County, California",846,192,0.6,1.1
6053000104,"Census Tract 1.04, Monterey County, California",756,88,8.6,6.7
6053000200,"Census Tract 2, Monterey County, California",1454,110,8.6,4.3
6053000300,"Census Tract 3, Monterey County, California",937,83,13.8,8.8
6053000400,"Census Tract 4, Monterey County, California",1322,199,10.2,7.3
6053000500,"Census Tract 5, Monterey County, California",1468,168,28,9.1
6053000600,"Census Tract 6, Monterey County, California",1272,132,23.5,8.7
6053000700,"Census Tract 7, Monterey County, California",2286,139,29.2,7.4
6053000800,"Census Tract 8, Monterey County, California",970,91,12.8,6.6
6053000900,"Census Tract 9, Monterey County, California",1055,93,24.3,13.4
6053001000,"Census Tract 10, Monterey County, California",162,80,13.6,21.5
6053001100,"Census Tract 11, Monterey County, California",888,130,3.9,6.1
6053001200,"Census Tract 12, Monterey County, California",784,119,11.4,7.5
6053001300,"Census Tract 13, Monterey County, California",449,104,14.9,9
6053001400,"Census Tract 14, Monterey County, California",598,88,12,6.9
6053001500,"Census Tract 15, Monterey County, California",1103,184,6.5,7.5
6053001600,"Census Tract 16, Monterey County, California",639,90,0,6.1
6053001700,"Census Tract 17, Monterey County, California",900,108,16.6,7.9
6053001800,"Census Tract 18, Monterey County, California",2248,179,12.4,5.6
6053010101,"Census Tract 101.01, Monterey County, California",811,110,18.6,9.5
6053010102,"Census Tract 101.02, Monterey County, California",907,73,5.7,4.4
6053010201,"Census Tract 102.01, Monterey County, California",988,86,16.4,7.9
6053010202,"Census Tract 102.02, Monterey County, California",1069,111,5.6,5.1
6053010302,"Census Tract 103.02, Monterey County, California",333,100,17.1,16.1
6053010303,"Census Tract 103.03, Monterey County, California",10,16,0,100
6053010304,"Census Tract 103.04, Monterey County, California",1300,150,8,6
6053010305,"Census Tract 103.05, Monterey County, California",1235,120,4.9,3.8
6053010400,"Census Tract 104, Monterey County, California",1149,129,14,8.7
6053010501,"Census Tract 105.01, Monterey County, California",1869,157,6.6,4.7
6053010503,"Census Tract 105.03, Monterey County, California",2075,205,24.6,6.7
6053010504,"Census Tract 105.04, Monterey County, California",986,130,13.7,8.8
6053010602,"Census Tract 106.02, Monterey County, California",1332,77,18,5.6
6053010603,"Census Tract 106.03, Monterey County, California",1793,151,6.5,3.8
6053010604,"Census Tract 106.04, Monterey County, California",957,106,9.1,5.8
6053010605,"Census Tract 106.05, Monterey County, California",839,53,16.2,7.8
6053010606,"Census Tract 106.06, Monterey County, California",1201,115,9.5,4.4
6053010701,"Census Tract 107.01, Monterey County, California",2158,149,0.7,1.2
6053010702,"Census Tract 107.02, Monterey County, California",1220,139,0,3.2
6053010801,"Census Tract 108.01, Monterey County, California",2131,185,9.9,4.6
6053010802,"Census Tract 108.02, Monterey County, California",233,54,21,10.1
6053010900,"Census Tract 109, Monterey County, California",0,132,-,**
6053011000,"Census Tract 110, Monterey County, California",1664,187,5.4,3.3
6053011101,"Census Tract 111.01, Monterey County, California",1234,125,16.6,10.2
6053011102,"Census Tract 111.02, Monterey County, California",2687,196,9.3,5.4
6053011201,"Census Tract 112.01, Monterey County, California",1813,162,9.8,6.1
6053011202,"Census Tract 112.02, Monterey County, California",1156,99,18.7,7.7
6053011301,"Census Tract 113.01, Monterey County, California",2012,173,11,6
6053011302,"Census Tract 113.02, Monterey County, California",932,123,17.4,7.8
6053011400,"Census Tract 114, Monterey County, California",839,70,6,3.4
6053011500,"Census Tract 115, Monterey County, California",250,64,8.8,13.3
6053011600,"Census Tract 116, Monterey County, California",2129,186,0.7,1.1
6053011700,"Census Tract 117, Monterey County, California",1017,144,1.9,2.7
6053011800,"Census Tract 118, Monterey County, California",1208,162,3.1,3.6
6053011900,"Census Tract 119, Monterey County, California",1406,178,9.5,8.1
6053012000,"Census Tract 120, Monterey County, California",858,135,3.7,4.1
6053012100,"Census Tract 121, Monterey County, California",524,80,1.5,2.2
6053012200,"Census Tract 122, Monterey County, California",729,106,5.8,5.2
6053012301,"Census Tract 123.01, Monterey County, California",296,53,0,12.6
6053012302,"Census Tract 123.02, Monterey County, California",403,75,5,5.5
6053012401,"Census Tract 124.01, Monterey County, California",424,98,0,9
6053012402,"Census Tract 124.02, Monterey County, California",839,105,1.2,2
6053012500,"Census Tract 125, Monterey County, California",1214,169,10.5,8
6053012600,"Census Tract 126, Monterey County, California",10,16,0,100
6053012700,"Census Tract 127, Monterey County, California",696,125,11.2,7.1
6053012800,"Census Tract 128, Monterey County, California",1421,155,1,1.5
6053013000,"Census Tract 130, Monterey County, California",580,128,17.2,9.3
6053013100,"Census Tract 131, Monterey County, California",453,88,1.3,2.6
6053013200,"Census Tract 132, Monterey County, California",1131,143,0.6,1.2
6053013300,"Census Tract 133, Monterey County, California",1311,187,10.1,5.9
6053013400,"Census Tract 134, Monterey County, California",435,46,0.7,1
6053013500,"Census Tract 135, Monterey County, California",1215,169,4.3,3.4
6053013600,"Census Tract 136, Monterey County, California",943,129,7.1,5.2
6053013700,"Census Tract 137, Monterey County, California",1145,103,13,7.5
6053013800,"Census Tract 138, Monterey County, California",1266,182,6.6,5
6053013900,"Census Tract 139, Monterey County, California",583,114,6,5.3
6053014000,"Census Tract 140, Monterey County, California",443,81,9.7,9.7
6053014101,"Census Tract 141.01, Monterey County, California",728,135,12.6,8.2
6053014102,"Census Tract 141.02, Monterey County, California",569,118,21.4,10.3
6053014103,"Census Tract 141.03, Monterey County, California",2005,202,3.3,2
6053014200,"Census Tract 142, Monterey County, California",1817,154,7,3.9
6053014301,"Census Tract 143.01, Monterey County, California",828,116,1.8,2.6
6053014302,"Census Tract 143.02, Monterey County, California",880,131,14.9,8.9
6055200201,"Census Tract 2002.01, Napa County, California",738,113,17.6,9.4
6055200202,"Census Tract 2002.02, Napa County, California",480,76,10,7
6055200203,"Census Tract 2002.03, Napa County, California",480,109,11.5,7.9
6055200300,"Census Tract 2003, Napa County, California",1881,182,9.2,5.9
6055200400,"Census Tract 2004, Napa County, California",892,109,1,1.6
6055200501,"Census Tract 2005.01, Napa County, California",1195,137,10.3,7.5
6055200502,"Census Tract 2005.02, Napa County, California",1754,231,9.6,6.5
6055200503,"Census Tract 2005.03, Napa County, California",371,70,10.5,13
6055200600,"Census Tract 2006, Napa County, California",2179,164,4.7,3.5
6055200701,"Census Tract 2007.01, Napa County, California",1573,183,5.8,4.6
6055200702,"Census Tract 2007.02, Napa County, California",1558,134,2.2,2.2
6055200703,"Census Tract 2007.03, Napa County, California",943,69,2.7,3.9
6055200801,"Census Tract 2008.01, Napa County, California",1814,130,10,4.8
6055200802,"Census Tract 2008.02, Napa County, California",1235,158,1.3,2
6055200900,"Census Tract 2009, Napa County, California",0,132,-,**
6055201001,"Census Tract 2010.01, Napa County, California",2085,141,4.7,2.7
6055201002,"Census Tract 2010.02, Napa County, California",1889,166,2.3,2.1
6055201100,"Census Tract 2011, Napa County, California",1056,136,4.5,2.7
6055201200,"Census Tract 2012, Napa County, California",1300,129,7,5.5
6055201300,"Census Tract 2013, Napa County, California",740,117,4.1,5.2
6055201400,"Census Tract 2014, Napa County, California",2187,206,3.5,3.6
6055201500,"Census Tract 2015, Napa County, California",563,124,3.7,6
6055201600,"Census Tract 2016, Napa County, California",1469,133,0.9,1.4
6055201700,"Census Tract 2017, Napa County, California",1218,145,6.7,4.8
6055201800,"Census Tract 2018, Napa County, California",470,61,3.4,3.5
6055201900,"Census Tract 2019, Napa County, California",286,74,3.5,6.3
6055202000,"Census Tract 2020, Napa County, California",1344,193,2.2,2.5
6057000102,"Census Tract 1.02, Nevada County, California",2053,170,0,1.9
6057000103,"Census Tract 1.03, Nevada County, California",2553,195,2.8,3
6057000104,"Census Tract 1.04, Nevada County, California",905,109,6.2,4.6
6057000105,"Census Tract 1.05, Nevada County, California",833,93,4.9,5.5
6057000200,"Census Tract 2, Nevada County, California",728,76,3.4,3.2
6057000300,"Census Tract 3, Nevada County, California",698,82,1.1,1.7
6057000401,"Census Tract 4.01, Nevada County, California",1896,182,1.1,1.4
6057000402,"Census Tract 4.02, Nevada County, California",1780,226,8.6,6.6
6057000501,"Census Tract 5.01, Nevada County, California",1339,155,4.4,3.6
6057000502,"Census Tract 5.02, Nevada County, California",1237,170,10.3,7.1
6057000600,"Census Tract 6, Nevada County, California",1440,156,13.4,5.9
6057000701,"Census Tract 7.01, Nevada County, California",2368,214,5.6,3.2
6057000702,"Census Tract 7.02, Nevada County, California",1158,106,2.3,2.4
6057000801,"Census Tract 8.01, Nevada County, California",1369,178,5.5,3.6
6057000802,"Census Tract 8.02, Nevada County, California",1635,214,2.6,2.2
6057000900,"Census Tract 9, Nevada County, California",805,140,15.9,9.2
6057001201,"Census Tract 12.01, Nevada County, California",2598,272,3.2,2.9
6057001202,"Census Tract 12.02, Nevada County, California",1384,226,2.2,2.9
6059001101,"Census Tract 11.01, Orange County, California",1106,111,3.2,4
6059001102,"Census Tract 11.02, Orange County, California",805,66,3.7,4.1
6059001103,"Census Tract 11.03, Orange County, California",862,110,5.5,4.9
6059001201,"Census Tract 12.01, Orange County, California",1139,97,17.7,7.8
6059001202,"Census Tract 12.02, Orange County, California",645,74,11.6,7.8
6059001301,"Census Tract 13.01, Orange County, California",1468,131,1.4,1.5
6059001303,"Census Tract 13.03, Orange County, California",1312,141,9.1,5
6059001304,"Census Tract 13.04, Orange County, California",789,79,20.2,7.9
6059001401,"Census Tract 14.01, Orange County, California",1116,124,3.3,2.9
6059001402,"Census Tract 14.02, Orange County, California",1229,108,8.3,4.8
6059001403,"Census Tract 14.03, Orange County, California",893,68,1.3,2.1
6059001404,"Census Tract 14.04, Orange County, California",813,65,10.3,6
6059001501,"Census Tract 15.01, Orange County, California",1658,121,3,3.6
6059001503,"Census Tract 15.03, Orange County, California",1118,118,1,1.7
6059001504,"Census Tract 15.04, Orange County, California",1082,143,5.5,4.2
6059001505,"Census Tract 15.05, Orange County, California",1803,138,5.4,4.6
6059001506,"Census Tract 15.06, Orange County, California",1012,73,1.6,2
6059001507,"Census Tract 15.07, Orange County, California",1052,122,4.7,4.6
6059001601,"Census Tract 16.01, Orange County, California",1874,173,6.5,4.9
6059001602,"Census Tract 16.02, Orange County, California",1321,109,5.8,4.4
6059001704,"Census Tract 17.04, Orange County, California",1960,116,3.8,2.8
6059001705,"Census Tract 17.05, Orange County, California",1103,81,6.5,5.9
6059001706,"Census Tract 17.06, Orange County, California",905,122,1.1,1.8
6059001707,"Census Tract 17.07, Orange County, California",2017,119,1.7,2
6059001708,"Census Tract 17.08, Orange County, California",1106,78,9.2,6
6059001801,"Census Tract 18.01, Orange County, California",1186,112,4.6,3.5
6059001802,"Census Tract 18.02, Orange County, California",1588,154,12.6,7.8
6059001901,"Census Tract 19.01, Orange County, California",616,98,16.4,10.9
6059001902,"Census Tract 19.02, Orange County, California",685,53,4.8,5.5
6059001903,"Census Tract 19.03, Orange County, California",784,68,4.8,5.9
6059011000,"Census Tract 110, Orange County, California",1579,144,3.1,3.2
6059011101,"Census Tract 111.01, Orange County, California",909,99,2.8,2.6
6059011102,"Census Tract 111.02, Orange County, California",983,79,4.4,3.3
6059011200,"Census Tract 112, Orange County, California",909,122,7.9,7.3
6059011300,"Census Tract 113, Orange County, California",974,155,11.1,6.3
6059011401,"Census Tract 114.01, Orange County, California",474,48,0,8.1
6059011402,"Census Tract 114.02, Orange County, California",679,57,0,5.7
6059011403,"Census Tract 114.03, Orange County, California",1147,123,8.6,6.7
6059011502,"Census Tract 115.02, Orange County, California",764,121,6.4,5.6
6059011503,"Census Tract 115.03, Orange County, California",387,73,0.5,2.7
6059011504,"Census Tract 115.04, Orange County, California",496,109,2.8,4.4
6059011601,"Census Tract 116.01, Orange County, California",1479,185,13.9,6.3
6059011602,"Census Tract 116.02, Orange County, California",1086,119,11.2,6.4
6059011707,"Census Tract 117.07, Orange County, California",1556,147,3.1,2.7
6059011708,"Census Tract 117.08, Orange County, California",820,120,13.9,6.3
6059011709,"Census Tract 117.09, Orange County, California",1263,67,1.8,3
6059011710,"Census Tract 117.10, Orange County, California",850,60,0.9,1.5
6059011711,"Census Tract 117.11, Orange County, California",1245,174,11.2,7
6059011712,"Census Tract 117.12, Orange County, California",895,108,9.5,7.2
6059011714,"Census Tract 117.14, Orange County, California",47,44,0,48
6059011715,"Census Tract 117.15, Orange County, California",1842,141,1.7,2.1
6059011716,"Census Tract 117.16, Orange County, California",1332,89,3.6,2.9
6059011717,"Census Tract 117.17, Orange County, California",820,71,9.3,8
6059011718,"Census Tract 117.18, Orange County, California",872,103,3.4,3.9
6059011720,"Census Tract 117.20, Orange County, California",1279,102,25.3,6.5
6059011721,"Census Tract 117.21, Orange County, California",863,137,19.9,8
6059011722,"Census Tract 117.22, Orange County, California",628,111,4.1,6.4
6059021802,"Census Tract 218.02, Orange County, California",1842,162,4.3,4.1
6059021807,"Census Tract 218.07, Orange County, California",914,77,7.2,5.9
6059021809,"Census Tract 218.09, Orange County, California",761,79,5.1,5.7
6059021810,"Census Tract 218.10, Orange County, California",988,68,1,1.6
6059021812,"Census Tract 218.12, Orange County, California",1495,134,4.2,3.5
6059021813,"Census Tract 218.13, Orange County, California",0,132,-,**
6059021814,"Census Tract 218.14, Orange County, California",1849,162,2.7,2.2
6059021815,"Census Tract 218.15, Orange County, California",2074,104,0.7,0.8
6059021816,"Census Tract 218.16, Orange County, California",1434,138,0.8,1.2
6059021817,"Census Tract 218.17, Orange County, California",929,92,0,4.2
6059021820,"Census Tract 218.20, Orange County, California",1165,96,2.3,2.6
6059021821,"Census Tract 218.21, Orange County, California",1388,176,2,1.7
6059021822,"Census Tract 218.22, Orange County, California",1559,129,0.8,1.3
6059021823,"Census Tract 218.23, Orange County, California",817,68,0,4.8
6059021824,"Census Tract 218.24, Orange County, California",748,51,0,5.2
6059021825,"Census Tract 218.25, Orange County, California",949,64,1.1,1.8
6059021826,"Census Tract 218.26, Orange County, California",752,101,0,5.2
6059021827,"Census Tract 218.27, Orange County, California",949,74,0,4.1
6059021828,"Census Tract 218.28, Orange County, California",1234,59,0,3.2
6059021829,"Census Tract 218.29, Orange County, California",1554,86,1.3,2.2
6059021830,"Census Tract 218.30, Orange County, California",1769,100,2.1,2
6059021903,"Census Tract 219.03, Orange County, California",916,89,2.3,2.5
6059021905,"Census Tract 219.05, Orange County, California",1429,82,2.2,1.7
6059021912,"Census Tract 219.12, Orange County, California",1376,69,0,2.9
6059021913,"Census Tract 219.13, Orange County, California",1867,133,15.4,7.7
6059021914,"Census Tract 219.14, Orange County, California",1088,97,5.5,5.9
6059021915,"Census Tract 219.15, Orange County, California",1080,86,0,3.6
6059021916,"Census Tract 219.16, Orange County, California",1016,84,1.4,1.6
6059021917,"Census Tract 219.17, Orange County, California",993,91,4,4.6
6059021918,"Census Tract 219.18, Orange County, California",1297,109,5.8,4.6
6059021919,"Census Tract 219.19, Orange County, California",656,78,1.1,1.8
6059021920,"Census Tract 219.20, Orange County, California",1990,146,1.2,1.3
6059021921,"Census Tract 219.21, Orange County, California",1238,75,0.7,1.1
6059021922,"Census Tract 219.22, Orange County, California",1286,153,4.2,4.6
6059021923,"Census Tract 219.23, Orange County, California",1765,145,4.6,4.7
6059021924,"Census Tract 219.24, Orange County, California",1307,93,3.1,3
6059032002,"Census Tract 320.02, Orange County, California",1485,170,0.7,1.1
6059032003,"Census Tract 320.03, Orange County, California",1272,91,4.4,2.8
6059032011,"Census Tract 320.11, Orange County, California",542,125,3.7,5.9
6059032012,"Census Tract 320.12, Orange County, California",986,93,1.5,2.5
6059032013,"Census Tract 320.13, Orange County, California",1185,120,1.3,2
6059032014,"Census Tract 320.14, Orange County, California",1072,141,5.6,4.9
