Id2,Geography,Total number of households,Total number of households- MOE,Median income (dollars); All households,Median income (dollars)- MOE; All households
6065043203,"Census Tract 432.03, Riverside County, California",11294,333,86095,3857
6065043206,"Census Tract 432.06, Riverside County, California",2329,138,73967,7651
6065043207,"Census Tract 432.07, Riverside County, California",5356,200,76188,3638
6065043208,"Census Tract 432.08, Riverside County, California",4647,217,85915,8545
6065043209,"Census Tract 432.09, Riverside County, California",2780,150,72722,8908
6065043210,"Census Tract 432.10, Riverside County, California",4736,187,73286,8013
6065043211,"Census Tract 432.11, Riverside County, California",1657,81,72309,10917
6065043212,"Census Tract 432.12, Riverside County, California",3200,149,52688,6707
6065043213,"Census Tract 432.13, Riverside County, California",5322,254,95222,7531
6065043214,"Census Tract 432.14, Riverside County, California",8651,287,83860,8097
6065043215,"Census Tract 432.15, Riverside County, California",1126,91,51250,18243
6065043216,"Census Tract 432.16, Riverside County, California",2534,146,58487,7566
6065043217,"Census Tract 432.17, Riverside County, California",1160,96,83021,16106
6065043218,"Census Tract 432.18, Riverside County, California",1621,90,95990,14986
6065043219,"Census Tract 432.19, Riverside County, California",3569,187,74347,8973
6065043220,"Census Tract 432.20, Riverside County, California",1561,101,50665,4718
6065043221,"Census Tract 432.21, Riverside County, California",5712,157,90652,4630
6065043222,"Census Tract 432.22, Riverside County, California",1234,58,106098,17668
6065043223,"Census Tract 432.23, Riverside County, California",2809,155,71775,11284
6065043224,"Census Tract 432.24, Riverside County, California",3853,189,108708,17234
6065043225,"Census Tract 432.25, Riverside County, California",2675,168,69173,8495
6065043304,"Census Tract 433.04, Riverside County, California",2182,138,67813,23431
6065043305,"Census Tract 433.05, Riverside County, California",3089,215,53998,4998
6065043306,"Census Tract 433.06, Riverside County, California",1576,95,44750,8262
6065043307,"Census Tract 433.07, Riverside County, California",2241,150,29840,4326
6065043308,"Census Tract 433.08, Riverside County, California",945,101,28450,3042
6065043309,"Census Tract 433.09, Riverside County, California",934,69,36806,5339
6065043310,"Census Tract 433.10, Riverside County, California",911,91,33125,4640
6065043311,"Census Tract 433.11, Riverside County, California",553,73,69208,15824
6065043312,"Census Tract 433.12, Riverside County, California",1163,92,49712,7726
6065043313,"Census Tract 433.13, Riverside County, California",1016,69,50739,9018
6065043314,"Census Tract 433.14, Riverside County, California",1113,79,53894,12519
6065043315,"Census Tract 433.15, Riverside County, California",646,78,56346,8837
6065043401,"Census Tract 434.01, Riverside County, California",1829,151,35138,8178
6065043403,"Census Tract 434.03, Riverside County, California",979,69,26841,5593
6065043404,"Census Tract 434.04, Riverside County, California",1301,88,27679,4458
6065043405,"Census Tract 434.05, Riverside County, California",1546,171,19138,4234
6065043503,"Census Tract 435.03, Riverside County, California",2118,186,31545,6808
6065043504,"Census Tract 435.04, Riverside County, California",2180,213,43514,5376
6065043505,"Census Tract 435.05, Riverside County, California",1562,83,25969,2688
6065043506,"Census Tract 435.06, Riverside County, California",1899,97,42790,6333
6065043507,"Census Tract 435.07, Riverside County, California",2364,179,25366,5292
6065043508,"Census Tract 435.08, Riverside County, California",2394,183,39280,4680
6065043509,"Census Tract 435.09, Riverside County, California",1778,123,50213,7803
6065043510,"Census Tract 435.10, Riverside County, California",3156,236,51964,6842
6065043511,"Census Tract 435.11, Riverside County, California",2393,157,51760,10768
6065043600,"Census Tract 436, Riverside County, California",2433,163,30944,5888
6065043701,"Census Tract 437.01, Riverside County, California",1389,134,38531,7389
6065043702,"Census Tract 437.02, Riverside County, California",1702,93,49915,12204
6065043703,"Census Tract 437.03, Riverside County, California",946,59,40068,12317
6065043704,"Census Tract 437.04, Riverside County, California",1336,79,47500,17817
6065043802,"Census Tract 438.02, Riverside County, California",1887,161,53497,7265
6065043805,"Census Tract 438.05, Riverside County, California",4628,271,72308,5161
6065043806,"Census Tract 438.06, Riverside County, California",4294,243,37853,4926
6065043807,"Census Tract 438.07, Riverside County, California",1827,120,54071,6575
6065043808,"Census Tract 438.08, Riverside County, California",3045,173,68408,12919
6065043809,"Census Tract 438.09, Riverside County, California",1333,72,52572,6311
6065043900,"Census Tract 439, Riverside County, California",1990,139,40811,7919
6065044000,"Census Tract 440, Riverside County, California",592,99,33333,4463
6065044101,"Census Tract 441.01, Riverside County, California",1083,75,40156,9906
6065044102,"Census Tract 441.02, Riverside County, California",951,101,37861,5395
6065044103,"Census Tract 441.03, Riverside County, California",2400,152,39474,7596
6065044104,"Census Tract 441.04, Riverside County, California",954,95,65591,14432
6065044200,"Census Tract 442, Riverside County, California",1613,126,36223,11023
6065044300,"Census Tract 443, Riverside County, California",1384,96,41429,5883
6065044401,"Census Tract 444.01, Riverside County, California",1079,183,45404,6207
6065044402,"Census Tract 444.02, Riverside County, California",1988,214,58625,18357
6065044403,"Census Tract 444.03, Riverside County, California",1257,127,32296,12560
6065044503,"Census Tract 445.03, Riverside County, California",2090,248,37200,3229
6065044504,"Census Tract 445.04, Riverside County, California",2705,269,38805,5826
6065044505,"Census Tract 445.05, Riverside County, California",2301,176,39750,6737
6065044506,"Census Tract 445.06, Riverside County, California",2874,237,32154,3639
6065044507,"Census Tract 445.07, Riverside County, California",1633,149,39861,5745
6065044508,"Census Tract 445.08, Riverside County, California",2610,210,50550,10801
6065044509,"Census Tract 445.09, Riverside County, California",1278,148,30504,2261
6065044510,"Census Tract 445.10, Riverside County, California",1534,149,30919,8088
6065044601,"Census Tract 446.01, Riverside County, California",3111,313,42963,5169
6065044602,"Census Tract 446.02, Riverside County, California",1811,197,39279,13147
6065044604,"Census Tract 446.04, Riverside County, California",1892,188,52582,9213
6065044701,"Census Tract 447.01, Riverside County, California",1752,168,34861,6670
6065044702,"Census Tract 447.02, Riverside County, California",674,91,47632,6580
6065044804,"Census Tract 448.04, Riverside County, California",1080,100,37308,13820
6065044805,"Census Tract 448.05, Riverside County, California",944,146,52823,10549
6065044806,"Census Tract 448.06, Riverside County, California",1259,166,31402,8828
6065044807,"Census Tract 448.07, Riverside County, California",1016,117,45700,28933
6065044808,"Census Tract 448.08, Riverside County, California",1365,148,46659,5896
6065044904,"Census Tract 449.04, Riverside County, California",1245,93,56983,21195
6065044905,"Census Tract 449.05, Riverside County, California",2502,167,51830,15456
6065044906,"Census Tract 449.06, Riverside County, California",2376,174,48551,7400
6065044907,"Census Tract 449.07, Riverside County, California",1252,111,39333,7895
6065044909,"Census Tract 449.09, Riverside County, California",3955,241,92135,15787
6065044910,"Census Tract 449.10, Riverside County, California",1755,174,65493,6878
6065044911,"Census Tract 449.11, Riverside County, California",2538,218,44385,9349
6065044912,"Census Tract 449.12, Riverside County, California",3543,288,82567,5783
6065044913,"Census Tract 449.13, Riverside County, California",3350,290,46642,6522
6065044914,"Census Tract 449.14, Riverside County, California",5533,286,60709,7186
6065044915,"Census Tract 449.15, Riverside County, California",1900,121,33815,3367
6065044916,"Census Tract 449.16, Riverside County, California",1575,132,51827,14223
6065045000,"Census Tract 450, Riverside County, California",1525,173,47266,9745
6065045103,"Census Tract 451.03, Riverside County, California",2105,221,46011,10353
6065045105,"Census Tract 451.05, Riverside County, California",2188,211,93092,18262
6065045106,"Census Tract 451.06, Riverside County, California",3053,274,45839,7260
6065045107,"Census Tract 451.07, Riverside County, California",2467,192,60246,9198
6065045108,"Census Tract 451.08, Riverside County, California",2265,189,42639,7678
6065045109,"Census Tract 451.09, Riverside County, California",1646,145,57581,5391
6065045110,"Census Tract 451.10, Riverside County, California",2040,141,57990,7490
6065045111,"Census Tract 451.11, Riverside County, California",4485,340,71604,6375
6065045112,"Census Tract 451.12, Riverside County, California",1928,147,116078,22497
6065045113,"Census Tract 451.13, Riverside County, California",2267,245,84625,30886
6065045203,"Census Tract 452.03, Riverside County, California",4911,336,61818,4318
6065045204,"Census Tract 452.04, Riverside County, California",3061,220,67190,5156
6065045205,"Census Tract 452.05, Riverside County, California",5328,283,83981,8588
6065045206,"Census Tract 452.06, Riverside County, California",7465,379,61095,3979
6065045207,"Census Tract 452.07, Riverside County, California",1708,131,38394,2601
6065045208,"Census Tract 452.08, Riverside County, California",2149,149,58175,7216
6065045209,"Census Tract 452.09, Riverside County, California",1936,81,43652,3938
6065045301,"Census Tract 453.01, Riverside County, California",2923,221,66887,14462
6065045302,"Census Tract 453.02, Riverside County, California",1295,65,40524,10356
6065045400,"Census Tract 454, Riverside County, California",2657,160,30236,5173
6065045501,"Census Tract 455.01, Riverside County, California",1676,104,30890,6523
6065045502,"Census Tract 455.02, Riverside County, California",1305,122,24991,5787
6065045603,"Census Tract 456.03, Riverside County, California",4176,320,59432,6435
6065045604,"Census Tract 456.04, Riverside County, California",2443,173,27625,3414
6065045605,"Census Tract 456.05, Riverside County, California",2059,142,33103,3983
6065045702,"Census Tract 457.02, Riverside County, California",2871,179,46739,4326
6065045703,"Census Tract 457.03, Riverside County, California",1089,84,28563,12137
6065045704,"Census Tract 457.04, Riverside County, California",748,74,30789,5155
6065045705,"Census Tract 457.05, Riverside County, California",1584,126,33844,2152
6065045706,"Census Tract 457.06, Riverside County, California",1276,78,36768,10589
6065045800,"Census Tract 458, Riverside County, California",701,109,41134,6753
6065045900,"Census Tract 459, Riverside County, California",712,70,32981,11997
6065046000,"Census Tract 460, Riverside County, California",593,126,34288,5654
6065046101,"Census Tract 461.01, Riverside County, California",1300,129,39938,11738
6065046102,"Census Tract 461.02, Riverside County, California",640,131,23519,4375
6065046103,"Census Tract 461.03, Riverside County, California",1008,103,64836,10105
6065046200,"Census Tract 462, Riverside County, California",1194,164,26926,9076
6065046401,"Census Tract 464.01, Riverside County, California",1039,83,41964,24176
6065046402,"Census Tract 464.02, Riverside County, California",1498,115,39719,5867
6065046403,"Census Tract 464.03, Riverside County, California",1929,147,62997,10204
6065046404,"Census Tract 464.04, Riverside County, California",1372,141,58300,11754
6065046405,"Census Tract 464.05, Riverside County, California",1201,86,56677,2223
6065940100,"Census Tract 9401, Riverside County, California",86,46,31176,19439
6065940300,"Census Tract 9403, Riverside County, California",0,132,-,**
6067000100,"Census Tract 1, Sacramento County, California",1663,83,85268,8778
6067000200,"Census Tract 2, Sacramento County, California",1860,62,74415,8340
6067000300,"Census Tract 3, Sacramento County, California",1521,79,71650,8145
6067000400,"Census Tract 4, Sacramento County, California",2396,99,42598,8553
6067000500,"Census Tract 5, Sacramento County, California",1918,97,32613,5816
6067000600,"Census Tract 6, Sacramento County, California",598,41,28576,6151
6067000700,"Census Tract 7, Sacramento County, California",444,66,12174,4134
6067000800,"Census Tract 8, Sacramento County, California",793,139,39293,7191
6067000900,"Census Tract 9, Sacramento County, California",134,42,62000,19207
6067001000,"Census Tract 10, Sacramento County, California",487,96,10603,3164
6067001100,"Census Tract 11, Sacramento County, California",652,75,27292,11655
6067001200,"Census Tract 12, Sacramento County, California",2566,149,35177,8783
6067001300,"Census Tract 13, Sacramento County, California",1925,144,41117,6504
6067001400,"Census Tract 14, Sacramento County, California",1746,90,34524,4163
6067001500,"Census Tract 15, Sacramento County, California",2290,151,84265,14886
6067001600,"Census Tract 16, Sacramento County, California",2529,123,65889,10848
6067001700,"Census Tract 17, Sacramento County, California",2622,167,43994,7083
6067001800,"Census Tract 18, Sacramento County, California",1986,130,39391,4385
6067001900,"Census Tract 19, Sacramento County, California",1617,118,41021,5791
6067002000,"Census Tract 20, Sacramento County, California",1280,104,29338,3458
6067002100,"Census Tract 21, Sacramento County, California",1094,124,42230,7692
6067002200,"Census Tract 22, Sacramento County, California",1743,83,28470,4982
6067002300,"Census Tract 23, Sacramento County, California",1677,74,85417,25735
6067002400,"Census Tract 24, Sacramento County, California",2017,113,99375,12551
6067002500,"Census Tract 25, Sacramento County, California",757,39,98963,19080
6067002600,"Census Tract 26, Sacramento County, California",1248,82,65455,18498
6067002700,"Census Tract 27, Sacramento County, California",1409,135,27383,3375
6067002800,"Census Tract 28, Sacramento County, California",846,134,35577,9650
6067002900,"Census Tract 29, Sacramento County, California",2212,106,56433,7100
6067003000,"Census Tract 30, Sacramento County, California",2822,135,50954,5850
6067003101,"Census Tract 31.01, Sacramento County, California",1051,116,39271,4934
6067003102,"Census Tract 31.02, Sacramento County, California",1044,122,40481,11718
6067003201,"Census Tract 32.01, Sacramento County, California",2265,102,33130,5315
6067003202,"Census Tract 32.02, Sacramento County, California",1745,78,36161,7943
6067003300,"Census Tract 33, Sacramento County, California",1831,92,78239,10343
6067003400,"Census Tract 34, Sacramento County, California",1809,124,60139,9204
6067003501,"Census Tract 35.01, Sacramento County, California",1283,70,40594,5856
6067003502,"Census Tract 35.02, Sacramento County, California",1372,57,49474,11683
6067003600,"Census Tract 36, Sacramento County, California",939,69,44476,6954
6067003700,"Census Tract 37, Sacramento County, California",1198,101,28284,5688
6067003800,"Census Tract 38, Sacramento County, California",1652,108,52847,6285
6067003900,"Census Tract 39, Sacramento County, California",1559,127,56172,7935
6067004001,"Census Tract 40.01, Sacramento County, California",2788,164,57455,6826
6067004004,"Census Tract 40.04, Sacramento County, California",2794,92,75368,10156
6067004005,"Census Tract 40.05, Sacramento County, California",1860,130,67500,9382
6067004006,"Census Tract 40.06, Sacramento County, California",2132,167,63323,9756
6067004008,"Census Tract 40.08, Sacramento County, California",1607,66,83094,6160
6067004009,"Census Tract 40.09, Sacramento County, California",2280,130,56409,9806
6067004010,"Census Tract 40.10, Sacramento County, California",2279,117,49320,5047
6067004011,"Census Tract 40.11, Sacramento County, California",1257,63,103750,36214
6067004012,"Census Tract 40.12, Sacramento County, California",1458,72,89595,14868
6067004100,"Census Tract 41, Sacramento County, California",1598,88,36509,6239
6067004201,"Census Tract 42.01, Sacramento County, California",1557,98,45564,7189
6067004202,"Census Tract 42.02, Sacramento County, California",1600,96,36948,3441
6067004203,"Census Tract 42.03, Sacramento County, California",1536,59,31934,7795
6067004300,"Census Tract 43, Sacramento County, California",2138,161,44423,5122
6067004401,"Census Tract 44.01, Sacramento County, California",1295,104,33388,5334
6067004402,"Census Tract 44.02, Sacramento County, California",1183,96,26658,11436
6067004500,"Census Tract 45, Sacramento County, California",2605,138,29957,2743
6067004601,"Census Tract 46.01, Sacramento County, California",2347,156,35419,6257
6067004602,"Census Tract 46.02, Sacramento County, California",1402,115,35915,11139
6067004700,"Census Tract 47, Sacramento County, California",2577,141,31934,8062
6067004801,"Census Tract 48.01, Sacramento County, California",1621,94,35191,3693
6067004802,"Census Tract 48.02, Sacramento County, California",1348,111,39224,5583
6067004903,"Census Tract 49.03, Sacramento County, California",1826,179,30224,6249
6067004904,"Census Tract 49.04, Sacramento County, California",1845,129,51722,4228
6067004905,"Census Tract 49.05, Sacramento County, California",2246,135,30844,5386
6067004906,"Census Tract 49.06, Sacramento County, California",735,98,49884,14478
6067005001,"Census Tract 50.01, Sacramento County, California",2289,157,47652,6700
6067005002,"Census Tract 50.02, Sacramento County, California",2353,134,31094,7133
6067005101,"Census Tract 51.01, Sacramento County, California",1355,65,50808,1968
6067005102,"Census Tract 51.02, Sacramento County, California",1708,78,42994,6353
6067005103,"Census Tract 51.03, Sacramento County, California",274,41,27500,17441
6067005201,"Census Tract 52.01, Sacramento County, California",804,76,28402,4899
6067005202,"Census Tract 52.02, Sacramento County, California",1472,81,68333,11773
6067005203,"Census Tract 52.03, Sacramento County, California",3166,155,43584,9442
6067005300,"Census Tract 53, Sacramento County, California",290,54,15625,2418
6067005402,"Census Tract 54.02, Sacramento County, California",1551,88,38513,5470
6067005403,"Census Tract 54.03, Sacramento County, California",1349,69,76156,10008
6067005404,"Census Tract 54.04, Sacramento County, California",2862,157,79000,17048
6067005502,"Census Tract 55.02, Sacramento County, California",1962,134,28827,3616
6067005505,"Census Tract 55.05, Sacramento County, California",1965,123,33606,4136
6067005506,"Census Tract 55.06, Sacramento County, California",1232,114,35538,5056
6067005507,"Census Tract 55.07, Sacramento County, California",3199,166,41917,6247
6067005508,"Census Tract 55.08, Sacramento County, California",1796,119,44557,7484
6067005601,"Census Tract 56.01, Sacramento County, California",2190,119,43770,9131
6067005605,"Census Tract 56.05, Sacramento County, California",1215,105,37074,2484
6067005606,"Census Tract 56.06, Sacramento County, California",1839,99,49989,5135
6067005701,"Census Tract 57.01, Sacramento County, California",1336,54,69091,12790
6067005702,"Census Tract 57.02, Sacramento County, California",1903,38,108966,10405
6067005801,"Census Tract 58.01, Sacramento County, California",2220,85,63138,7951
6067005803,"Census Tract 58.03, Sacramento County, California",1489,45,109844,21327
6067005804,"Census Tract 58.04, Sacramento County, California",1078,78,103333,16438
6067005901,"Census Tract 59.01, Sacramento County, California",2510,82,64942,12793
6067005902,"Census Tract 59.02, Sacramento County, California",3115,188,50446,5479
6067006002,"Census Tract 60.02, Sacramento County, California",2131,104,38173,9313
6067006003,"Census Tract 60.03, Sacramento County, California",1791,131,34139,5959
6067006004,"Census Tract 60.04, Sacramento County, California",1038,56,72589,10158
6067006101,"Census Tract 61.01, Sacramento County, California",2030,173,36444,4823
6067006102,"Census Tract 61.02, Sacramento County, California",1697,162,45102,10711
6067006201,"Census Tract 62.01, Sacramento County, California",2600,219,36204,2902
6067006202,"Census Tract 62.02, Sacramento County, California",1592,77,30797,4638
6067006300,"Census Tract 63, Sacramento County, California",1557,143,36767,9214
6067006400,"Census Tract 64, Sacramento County, California",1790,104,34327,11408
6067006500,"Census Tract 65, Sacramento County, California",1799,122,38503,5509
6067006600,"Census Tract 66, Sacramento County, California",2151,143,31822,9156
6067006701,"Census Tract 67.01, Sacramento County, California",2471,101,45847,4156
6067006702,"Census Tract 67.02, Sacramento County, California",1822,147,34127,5252
6067006800,"Census Tract 68, Sacramento County, California",2224,144,26793,6915
6067006900,"Census Tract 69, Sacramento County, California",2136,164,42610,7847
6067007001,"Census Tract 70.01, Sacramento County, California",1125,99,29269,4524
6067007004,"Census Tract 70.04, Sacramento County, California",2470,179,45303,8474
6067007007,"Census Tract 70.07, Sacramento County, California",1463,106,51042,8023
6067007008,"Census Tract 70.08, Sacramento County, California",5660,264,64323,4383
6067007009,"Census Tract 70.09, Sacramento County, California",1561,89,90625,16293
6067007010,"Census Tract 70.10, Sacramento County, California",1893,105,61979,9348
6067007011,"Census Tract 70.11, Sacramento County, California",2438,110,48531,11266
6067007012,"Census Tract 70.12, Sacramento County, California",1297,117,61510,9267
6067007013,"Census Tract 70.13, Sacramento County, California",1032,53,59737,7858
6067007014,"Census Tract 70.14, Sacramento County, California",2676,144,52134,4745
6067007100,"Census Tract 71, Sacramento County, California",11827,329,84835,5890
6067007202,"Census Tract 72.02, Sacramento County, California",1261,85,50587,9338
6067007204,"Census Tract 72.04, Sacramento County, California",1502,77,60128,8355
6067007206,"Census Tract 72.06, Sacramento County, California",1295,67,71370,3259
6067007207,"Census Tract 72.07, Sacramento County, California",1410,63,60779,8055
6067007208,"Census Tract 72.08, Sacramento County, California",1385,106,63125,13237
6067007209,"Census Tract 72.09, Sacramento County, California",1271,65,59564,12715
6067007300,"Census Tract 73, Sacramento County, California",130,82,98333,95633
6067007402,"Census Tract 74.02, Sacramento County, California",2054,74,53070,5538
6067007403,"Census Tract 74.03, Sacramento County, California",1275,112,44028,3698
6067007404,"Census Tract 74.04, Sacramento County, California",1472,77,37695,6322
6067007406,"Census Tract 74.06, Sacramento County, California",2254,146,41212,11875
6067007413,"Census Tract 74.13, Sacramento County, California",2336,155,29453,5708
6067007414,"Census Tract 74.14, Sacramento County, California",1413,64,42944,8077
6067007415,"Census Tract 74.15, Sacramento County, California",1162,77,62929,7899
6067007416,"Census Tract 74.16, Sacramento County, California",1511,64,42452,7418
6067007417,"Census Tract 74.17, Sacramento County, California",801,99,62030,6305
6067007418,"Census Tract 74.18, Sacramento County, California",3622,115,75034,7872
6067007419,"Census Tract 74.19, Sacramento County, California",4037,160,70859,5387
6067007420,"Census Tract 74.20, Sacramento County, California",3099,111,56394,5754
6067007421,"Census Tract 74.21, Sacramento County, California",2540,125,88287,6592
6067007422,"Census Tract 74.22, Sacramento County, California",779,92,46735,5757
6067007423,"Census Tract 74.23, Sacramento County, California",1818,141,34681,8480
6067007424,"Census Tract 74.24, Sacramento County, California",1255,84,40275,7623
6067007425,"Census Tract 74.25, Sacramento County, California",3040,158,49895,9207
6067007501,"Census Tract 75.01, Sacramento County, California",2482,142,35739,5191
6067007503,"Census Tract 75.03, Sacramento County, California",2046,170,43067,4444
6067007504,"Census Tract 75.04, Sacramento County, California",757,79,60130,9241
6067007601,"Census Tract 76.01, Sacramento County, California",2896,134,43689,3365
6067007602,"Census Tract 76.02, Sacramento County, California",1836,115,57210,7004
6067007701,"Census Tract 77.01, Sacramento County, California",2484,178,50598,9143
6067007702,"Census Tract 77.02, Sacramento County, California",1958,99,77136,12148
6067007801,"Census Tract 78.01, Sacramento County, California",2399,148,51528,3187
6067007802,"Census Tract 78.02, Sacramento County, California",1846,136,51934,9003
6067007903,"Census Tract 79.03, Sacramento County, California",1879,82,62995,6036
6067007904,"Census Tract 79.04, Sacramento County, California",1860,100,68119,5615
6067007905,"Census Tract 79.05, Sacramento County, California",1680,94,86818,9923
6067007906,"Census Tract 79.06, Sacramento County, California",1559,85,52547,7292
6067008005,"Census Tract 80.05, Sacramento County, California",1898,75,112069,18325
6067008006,"Census Tract 80.06, Sacramento County, California",2538,87,74107,9299
6067008007,"Census Tract 80.07, Sacramento County, California",1421,69,55439,10797
6067008008,"Census Tract 80.08, Sacramento County, California",1876,82,91064,10665
6067008009,"Census Tract 80.09, Sacramento County, California",1931,122,56106,5955
6067008010,"Census Tract 80.10, Sacramento County, California",2021,115,75133,14577
6067008111,"Census Tract 81.11, Sacramento County, California",2373,92,61576,14921
6067008113,"Census Tract 81.13, Sacramento County, California",1342,101,51136,2197
6067008117,"Census Tract 81.17, Sacramento County, California",814,52,52907,9632
6067008119,"Census Tract 81.19, Sacramento County, California",2095,118,50469,11048
6067008120,"Census Tract 81.20, Sacramento County, California",1934,100,53047,6923
6067008122,"Census Tract 81.22, Sacramento County, California",1384,67,66154,11909
6067008124,"Census Tract 81.24, Sacramento County, California",1609,66,79940,12483
6067008125,"Census Tract 81.25, Sacramento County, California",1973,115,61274,8178
6067008127,"Census Tract 81.27, Sacramento County, California",1707,78,64267,10678
6067008128,"Census Tract 81.28, Sacramento County, California",916,69,67606,17531
6067008129,"Census Tract 81.29, Sacramento County, California",1317,69,63838,5245
6067008130,"Census Tract 81.30, Sacramento County, California",1312,76,58750,10098
6067008131,"Census Tract 81.31, Sacramento County, California",2351,149,38257,5015
6067008132,"Census Tract 81.32, Sacramento County, California",1520,67,60288,7881
6067008133,"Census Tract 81.33, Sacramento County, California",1185,77,41743,8833
6067008134,"Census Tract 81.34, Sacramento County, California",1797,148,52065,5822
6067008135,"Census Tract 81.35, Sacramento County, California",2142,123,43904,7773
6067008136,"Census Tract 81.36, Sacramento County, California",1348,51,39311,5621
6067008137,"Census Tract 81.37, Sacramento County, California",959,58,50911,9496
6067008138,"Census Tract 81.38, Sacramento County, California",1265,101,57527,10645
6067008139,"Census Tract 81.39, Sacramento County, California",1754,92,38305,1968
6067008140,"Census Tract 81.40, Sacramento County, California",982,86,69415,10815
6067008141,"Census Tract 81.41, Sacramento County, California",2671,179,41997,6242
6067008142,"Census Tract 81.42, Sacramento County, California",1408,67,50260,7660
6067008143,"Census Tract 81.43, Sacramento County, California",1623,102,50241,5891
6067008144,"Census Tract 81.44, Sacramento County, California",895,42,75375,14828
6067008145,"Census Tract 81.45, Sacramento County, California",2654,86,74333,11683
6067008203,"Census Tract 82.03, Sacramento County, California",1793,77,77882,8587
6067008204,"Census Tract 82.04, Sacramento County, California",1699,109,65684,15039
6067008206,"Census Tract 82.06, Sacramento County, California",1941,135,78368,4588
6067008207,"Census Tract 82.07, Sacramento County, California",1742,71,73594,6973
6067008208,"Census Tract 82.08, Sacramento County, California",1837,83,49213,8239
6067008209,"Census Tract 82.09, Sacramento County, California",1617,78,71599,17418
6067008210,"Census Tract 82.10, Sacramento County, California",2177,111,76050,19230
6067008211,"Census Tract 82.11, Sacramento County, California",1053,20,78750,8460
6067008300,"Census Tract 83, Sacramento County, California",20,16,90000,49252
6067008402,"Census Tract 84.02, Sacramento County, California",1860,67,80435,9710
6067008403,"Census Tract 84.03, Sacramento County, California",1915,99,83750,12434
6067008404,"Census Tract 84.04, Sacramento County, California",1290,87,46389,10828
6067008501,"Census Tract 85.01, Sacramento County, California",2065,87,120893,6792
6067008502,"Census Tract 85.02, Sacramento County, California",5519,207,104846,4798
6067008503,"Census Tract 85.03, Sacramento County, California",4024,142,93879,6327
6067008504,"Census Tract 85.04, Sacramento County, California",1408,81,108603,7238
6067008600,"Census Tract 86, Sacramento County, California",2752,111,109453,9342
6067008701,"Census Tract 87.01, Sacramento County, California",3863,196,90014,5932
6067008702,"Census Tract 87.02, Sacramento County, California",1351,31,111811,13596
6067008800,"Census Tract 88, Sacramento County, California",1681,72,77107,8397
6067008905,"Census Tract 89.05, Sacramento County, California",1643,106,42313,8644
6067008907,"Census Tract 89.07, Sacramento County, California",1880,99,47097,8368
6067008908,"Census Tract 89.08, Sacramento County, California",1972,169,41837,12162
6067008909,"Census Tract 89.09, Sacramento County, California",814,85,75500,15552
6067008910,"Census Tract 89.10, Sacramento County, California",1367,70,49183,10346
6067008911,"Census Tract 89.11, Sacramento County, California",827,54,33634,9949
6067008912,"Census Tract 89.12, Sacramento County, California",1271,110,79950,12472
6067008913,"Census Tract 89.13, Sacramento County, California",1437,109,57122,14901
6067009004,"Census Tract 90.04, Sacramento County, California",1237,104,56696,7628
6067009005,"Census Tract 90.05, Sacramento County, California",1250,75,45263,6877
6067009006,"Census Tract 90.06, Sacramento County, California",1803,113,35095,7489
6067009007,"Census Tract 90.07, Sacramento County, California",1070,61,36719,3630
6067009008,"Census Tract 90.08, Sacramento County, California",1627,112,41677,10110
6067009009,"Census Tract 90.09, Sacramento County, California",3106,190,58848,3914
6067009103,"Census Tract 91.03, Sacramento County, California",1226,66,60195,5116
6067009105,"Census Tract 91.05, Sacramento County, California",1091,70,48895,4366
6067009106,"Census Tract 91.06, Sacramento County, California",1813,123,51996,4688
6067009107,"Census Tract 91.07, Sacramento County, California",1320,74,63878,2626
6067009108,"Census Tract 91.08, Sacramento County, California",1390,51,57391,11918
6067009109,"Census Tract 91.09, Sacramento County, California",1758,71,70595,8317
6067009110,"Census Tract 91.10, Sacramento County, California",630,91,34022,5158
6067009111,"Census Tract 91.11, Sacramento County, California",2200,112,50414,7591
6067009112,"Census Tract 91.12, Sacramento County, California",1316,69,56250,11006
6067009200,"Census Tract 92, Sacramento County, California",439,78,66394,33826
6067009307,"Census Tract 93.07, Sacramento County, California",1480,76,84397,5534
6067009308,"Census Tract 93.08, Sacramento County, California",1850,83,62854,5233
6067009309,"Census Tract 93.09, Sacramento County, California",818,21,67407,11180
6067009310,"Census Tract 93.10, Sacramento County, California",2095,127,70221,9885
6067009311,"Census Tract 93.11, Sacramento County, California",1963,72,82078,3746
6067009312,"Census Tract 93.12, Sacramento County, California",1819,134,85788,11661
6067009313,"Census Tract 93.13, Sacramento County, California",718,56,44709,14592
6067009314,"Census Tract 93.14, Sacramento County, California",1308,80,93864,13991
6067009315,"Census Tract 93.15, Sacramento County, California",6559,211,105506,6919
6067009316,"Census Tract 93.16, Sacramento County, California",1224,115,62560,6413
6067009317,"Census Tract 93.17, Sacramento County, California",1670,92,87976,14773
6067009318,"Census Tract 93.18, Sacramento County, California",799,34,57960,6348
6067009319,"Census Tract 93.19, Sacramento County, California",1165,89,59894,6476
6067009320,"Census Tract 93.20, Sacramento County, California",1377,72,68134,10436
6067009321,"Census Tract 93.21, Sacramento County, California",1682,76,70764,8081
6067009322,"Census Tract 93.22, Sacramento County, California",3028,125,69403,5927
6067009323,"Census Tract 93.23, Sacramento County, California",1302,86,84900,9623
6067009403,"Census Tract 94.03, Sacramento County, California",645,85,64896,28571
